datetime,eta1,eta2,m1,m2,cop,cop_given,cp1,cp2,Speed line X,Speed line x,igva1,igva2,Evaporator pressure,k1,k2,Q,status,error
2024/12/15 00:00:00,0.7259491053622168,0.6546615942049827,77.82009477753013,96.83301322260814,2.5735981592389328,2.63,2849.879986874997,3267.7180884249397,0.9936021269167944,1.0024942256331346,29.93367677690207,2.218104548141716,2.108261667285859,1.0067247175284617,1.0179595814843982,15.744239145555555,passed,
2024/12/15 00:15:00,0.7155843132665675,0.6456073843225064,77.12243946303003,95.95921663124582,2.5521514315274443,2.61,2848.504879449816,3306.798876277868,0.9931496149718522,1.0019225791618362,30.491933323730063,1.293411877086843,2.1262653447702364,1.000729691520662,1.0148030755451114,15.709267291666665,passed,
2024/12/15 00:30:00,0.7150618235638176,0.64525133231488,76.90041879697186,95.66942089900363,2.5488481573360193,2.6,2844.6950508881464,3301.343715429489,0.9933588779227901,1.0019631708745445,30.4499964690374,1.1886248490687745,2.1226876710682383,1.0007474794653375,1.0145338908695047,15.665319584444449,passed,
2024/12/15 00:45:00,0.7126223239742571,0.6432672278247882,76.26198302424183,94.90652470876468,2.5444138875922193,2.61,2823.6712195968894,3290.6728865596046,0.9933946944983313,1.0019954286824422,30.711883759022133,1.0226453356934493,2.126634856427005,0.9999228151514871,1.0136716240443244,15.557422057222219,passed,
2024/12/15 01:00:00,0.7185043953105534,0.6486036639886199,77.16895027600295,96.0255305827318,2.556587967555224,2.59,2843.724683979927,3291.3814080054026,0.9935932224445272,1.0022822984728603,30.36697345512317,1.4379722116749092,2.1164684336130573,1.0031650489884565,1.0155740212004858,15.684938414444444,passed,
2024/12/15 01:15:00,0.7218181206575489,0.6508068892390263,77.36320515568337,96.25362863735278,2.560005597836332,2.61,2848.072725186883,3291.837111102474,0.9935185220486155,1.0022564287217457,30.022323700977857,1.3194876964405513,2.1079582644493207,1.0040694079892005,1.0165857562997518,15.71820355111111,passed,
2024/12/15 01:30:00,0.719793285509346,0.6496650004115835,77.51570772882705,96.43150021624947,2.558258427854803,2.6,2853.8573833667115,3301.5724467637083,0.993631842477673,1.0023340612797658,30.255192154021405,1.3654092504841246,2.114017463625439,1.0035908370420255,1.0159798318262356,15.747180240000004,passed,
2024/12/15 01:45:00,0.7210712988556861,0.6504595877075899,77.67388054741414,96.6163812391855,2.560037604264886,2.58,2859.8215401760367,3304.320851213306,0.9935192002524766,1.0022559505699873,30.09602121285284,1.3624286837024446,2.1102730239104277,1.0038299170562357,1.0164202686138304,15.78043632,passed,
2024/12/15 02:00:00,0.7257172185937135,0.6542542858727594,78.0101620441639,97.02059502638532,2.569562316741678,2.61,2855.002291134902,3299.233508856313,0.9934828312550704,1.002488598592936,30.022930465919142,1.3568509915615043,2.1094964972539914,1.0062190928335428,1.0179101296192745,15.8136924,passed,
2024/12/15 02:15:00,0.7262852680838164,0.6543096366949407,78.10264550841742,97.12366801519347,2.5714119285691868,2.61,2855.636172340671,3302.4438677691546,0.9933176422921095,1.0024391215199258,30.008323905623485,1.3588581218531228,2.111150543872305,1.0058509982754518,1.018099169704623,15.834960472222221,passed,
2024/12/15 02:30:00,0.7222688438193423,0.6507884244266288,77.89062240230903,96.79957722437607,2.562920360959763,2.6,2858.287893199194,3317.368037125518,0.9931062081491953,1.002143225067761,30.205706397281183,0.9882312894104583,2.119509999586263,1.0037582032312566,1.0169661917121755,15.827714326111114,passed,
2024/12/15 02:45:00,0.7214083435468513,0.6510060900944015,78.0234369613916,96.95236069489353,2.5617231504370443,2.58,2860.782629441114,3314.9308458034434,0.9937283917268392,1.002532744117556,30.35488364903726,1.1831418383400276,2.1200326222982717,1.0043760900428267,1.0164907924607756,15.820468179999995,passed,
2024/12/15 03:00:00,0.7254974022124159,0.6538807755985241,78.12835520697091,97.02717810560212,2.570318779382287,2.59,2856.2567478338938,3294.3089153003352,0.9935995531042401,1.002530776383201,30.073586843561433,1.5127227716219387,2.11619490881367,1.0061269974687879,1.0177713137127493,15.808914427777777,passed,
2024/12/15 03:15:00,0.724837592699203,0.6524888452007042,77.88341714816528,96.7072263445222,2.563635005882986,2.61,2859.3930372307336,3304.382312729049,0.9933741698531271,1.0022004755684832,29.82031786946863,1.0066944988153714,2.109493383380691,1.0047407812076545,1.017566247036489,15.801670255555555,passed,
2024/12/15 03:30:00,0.7229981547818237,0.6509160241770944,77.83258766030848,96.58603613712651,2.5600502037820556,2.6,2861.8878366486206,3307.688861495678,0.9933986917319901,1.002118375341384,29.90512846047222,0.9640221514714152,2.1139094937203744,1.0038469290856649,1.0169933213646138,15.794426083333333,passed,
2024/12/15 03:45:00,0.7211887110443121,0.6498058166238982,77.78319224911041,96.5118360398587,2.558821857075996,2.59,2857.2294793861606,3310.7967093153825,0.993459431940319,1.0022178827916928,30.210579768829398,0.9339808370869425,2.122256649277312,1.0035144909509282,1.0164463970298991,15.782880226666661,passed,
2024/12/15 04:00:00,0.7207078364353706,0.6488233427449642,77.69267863277292,96.34199771805606,2.5549824296338106,2.6,2864.2741617654583,3311.8691869582854,0.993347556385356,1.0019422405655893,29.979892599450615,0.8349230111759056,2.117686408653694,1.0026394626225026,1.0163110577926622,15.77993773888889,passed,
2024/12/15 04:15:00,0.7189509076468615,0.6480464658296073,77.74126171337987,96.39111135569473,2.5551559900000793,2.59,2862.3483400202867,3312.2223574551494,0.9935008518463436,1.0021075984743277,30.308163624080535,1.0027346601220064,2.1259606550534795,1.0026713069373607,1.015776868387055,15.776991303333329,passed,
2024/12/15 04:30:00,0.7239117781716226,0.6517885302079922,77.87337828762072,96.54132763238206,2.562665930082343,2.6,2856.3603819787213,3298.9643268853606,0.9935418343562447,1.0022691806273913,30.009371118404285,1.0094379575543273,2.117905973795009,1.004892317342192,1.0172488670343844,15.77404092,passed,
2024/12/15 04:45:00,0.7245877366160027,0.6519517926942224,77.85322661959829,96.45775148652608,2.5597215153281976,2.58,2863.7809623746953,3297.469976232501,0.9936193430317708,1.0021247273683225,29.699386675940698,0.8943578971488584,2.109863774139411,1.0048592049610607,1.01740873380189,15.77108658888889,passed,
2024/12/15 05:00:00,0.7218320675029457,0.6500486591564311,77.84813295891367,96.43926595070592,2.556650586572119,2.61,2864.052374510511,3305.120764689237,0.9937348211146756,1.0022059187066896,29.979981981793152,0.9094558991377167,2.11818628703766,1.0038137355944285,1.0165133241735644,15.772420124999998,passed,
2024/12/15 05:15:00,0.7273412454213478,0.6540103725310688,78.0267774443506,96.60507369388827,2.5657843472540587,2.58,2863.3515271164633,3282.7051129597594,0.9937057249071495,1.0022256569539965,29.5226120720679,1.2244296941338186,2.107705026145217,1.006151602805668,1.0181882599195062,15.769455924444445,passed,
2024/12/15 05:30:00,0.7253575401055443,0.6525393167005988,77.93974095048665,96.48444366472096,2.5605656658951563,2.57,2868.535833801187,3288.8878894444547,0.9938068210414568,1.0021525311033452,29.54710976320698,1.1016249310872528,2.1064768730992114,1.005370563465387,1.0175644493527272,15.766487776111108,passed,
2024/12/15 05:45:00,0.725395267231646,0.6519839925113186,77.89480840618651,96.37072113835599,2.559693691900326,2.59,2867.945155957439,3288.7406367738595,0.993692347107936,1.0020335842117043,29.460987327913532,1.0265184382670218,2.108281093967747,1.0047129254562661,1.017543972753163,15.759229786666664,passed,
2024/12/15 06:00:00,0.7197394970512199,0.6478069051437029,77.63885111680716,96.05129522196579,2.548757785470032,2.58,2868.775285558924,3306.4368623409373,0.9938312828874132,1.0019855105705227,29.86011518201545,0.684343322451198,2.117937687799655,1.0024085089002215,1.0157844453769238,15.73912003888889,passed,
2024/12/15 06:15:00,0.7209100225828298,0.6485704420206971,77.65097374049611,96.01086763876569,2.5535342913454198,2.59,2861.9379015357126,3293.8525993869603,0.9937320195297,1.0020105483095356,29.917721010235468,0.9277006169327459,2.123015157541125,1.003041519648147,1.0161725689147507,15.719022134444444,passed,
2024/12/15 06:30:00,0.7181954062143369,0.6460015528620566,77.10392251139004,95.3217741912234,2.547826664485078,2.58,2848.5410933865123,3286.745228439935,0.9936998272501569,1.0018988626070766,30.051869098317063,0.795428510454864,2.126767427710407,1.0015235025030964,1.015235320861599,15.631646085000002,passed,
2024/12/15 06:45:00,0.7088672685575119,0.6368091528449303,75.64249989602457,93.45746452699356,2.5216458988988446,2.58,2840.4678832520576,3286.923066520729,0.9933884255702351,1.0009582449395487,29.944608334866405,0.08038424707684151,2.1229776405442364,0.9954274349977824,1.012256641042995,15.451110259444443,passed,
2024/12/15 07:00:00,0.7335584214173385,0.6588566784422265,78.775111352601,97.54486240898254,2.5758773960167862,2.59,2871.9177913255626,3301.0907662545865,0.9936946210045721,1.002549073310921,29.301930033777662,0.8843933228963453,2.0988264802646164,1.00836567847417,1.020048875305331,15.900913208888893,passed,
2024/12/15 07:15:00,0.7343267774094334,0.660377533949056,78.78671117503771,97.7863636558679,2.5882202838009642,2.62,2854.4769147912075,3283.2756510176036,0.9938557847801215,1.0031191677045517,29.783629923272343,1.7966340760440882,2.1004741743925117,1.0092209458157846,1.0201787894606609,15.885855687777775,passed,
2024/12/15 07:30:00,0.741110624259887,0.6673031842332865,79.02924651763483,98.40775811620448,2.6160528533670457,2.63,2814.505484868666,3252.031032633403,0.9940943757737022,1.0042815339858795,30.490518837369695,2.7592007884231626,2.1042589984229996,1.0136860524730262,1.0222128342908952,15.870380166666665,passed,
2024/12/15 07:45:00,0.7423023952604708,0.6681865953990482,78.82523561933633,98.23305189627438,2.617929768345201,2.63,2804.2389568140475,3250.5462307018065,0.9939199582986943,1.0042974511249017,30.459999641057987,2.558595744766589,2.1000565572572465,1.0141471991613107,1.0225703052334671,15.851002383333332,passed,
2024/12/15 08:00:00,0.7396111110715696,0.6660515710139552,78.65065210508934,98.01727500464746,2.61464238939705,2.62,2804.2682115963285,3252.217147249154,0.9937786985314567,1.0041370527690001,30.59569701329557,2.6264812996862448,2.1045652229951117,1.0130263915887487,1.021838482826744,15.835543350000002,passed,
2024/12/15 08:15:00,0.7407809500051787,0.6675161787488225,78.64662143017188,98.06083822709077,2.6160621513042472,2.62,2799.8682809564402,3245.930388409315,0.9940011510278103,1.0043271339061712,30.58634837521444,2.645204949201325,2.1028044864951485,1.0142511324896883,1.0221592323553226,15.816185073333333,passed,
2024/12/15 08:30:00,0.7383907580919135,0.6657313417489654,78.44009132331342,97.85183617852174,2.6097038401002033,2.62,2801.827497070604,3252.7838672484545,0.9939642519038622,1.0041721400314816,30.59711641942381,2.4579160424382827,2.1028299900254632,1.0132403609492326,1.0214570217012005,15.800742527777778,passed,
2024/12/15 08:45:00,0.7354204234180374,0.6633648987964378,78.17623902356824,97.57108728378769,2.601089021203847,2.62,2806.8832968579795,3261.84687141112,0.9938908792792053,1.003912163900367,30.535871910737484,2.2121206293256885,2.1005256254540576,1.0118055855687011,1.0205815159817393,15.78530741333333,passed,
2024/12/15 09:00:00,0.7326028430903239,0.6611276921856467,77.91455170700972,97.2927669332724,2.5939246028599854,2.61,2808.3788278104084,3269.6612519270257,0.9937851048634706,1.0036956808078452,30.544678897698297,1.991211560593465,2.101171774222304,1.0104669232767918,1.0197577427351807,15.765977699999997,passed,
2024/12/15 09:15:00,0.7331768955038768,0.661988077318202,77.91810405517286,97.34807277217011,2.597482739529634,2.62,2801.9898044663832,3261.7883425966947,0.9938089232372237,1.003822816171724,30.65861925715424,2.200323248109975,2.1048257784183475,1.0112600102903402,1.0199911906795744,15.750559073333333,passed,
2024/12/15 09:30:00,0.7298838242983002,0.6595865850002255,77.6587601397726,97.12030676192049,2.5922363549418495,2.63,2799.8015226459684,3268.799759284421,0.9937098281958757,1.0037168495136248,30.847724696816282,2.138677896397768,2.1083093496958973,1.0098289536149834,1.0190288609276472,15.731248866666666,passed,
2024/12/15 09:45:00,0.7310574511171549,0.661111864190231,77.64918854957531,97.17157435064487,2.596165982724649,2.62,2794.101240334671,3257.7178338062695,0.9937538598519993,1.0038304382422507,30.901766242908415,2.348835560659518,2.108756586020292,1.011263261630852,1.0194995059366412,15.711526813888888,passed,
2024/12/15 10:00:00,0.7403435804501548,0.6692741345152359,78.0505124581966,97.82822485281231,2.6238106191557744,2.65,2775.077767827897,3208.2383665363964,0.9938922668228193,1.0044810799493769,30.810384455216028,3.672045340653194,2.102024229887228,1.0164471852024641,1.0225050587578635,15.699088411111113,passed,
2024/12/15 10:15:00,0.7323133542434053,0.6623506123417826,77.54519816276654,97.18997666649948,2.5983403212289797,2.63,2792.2274268422243,3247.227722067714,0.9937594237906431,1.0038360523204486,30.696419377954573,2.618658976714644,2.1007165551208775,1.011846785687443,1.0199078584534924,15.692559831666664,passed,
2024/12/15 10:30:00,0.7368941624383206,0.6669150967049801,77.89072050063695,97.63000816425723,2.613045941529152,2.65,2780.6756761826286,3220.4769126195374,0.994017737702166,1.0043219311594476,30.856134035344855,3.2854548632822027,2.106772299199397,1.0153996465427018,1.0214409298867235,15.681287416666665,passed,
2024/12/15 10:45:00,0.7321660694574625,0.6621329697306858,77.54048974264295,97.09519359748955,2.5932120620954793,2.63,2799.5901674213264,3244.942045566396,0.9938101208779622,1.0035976353191354,30.475321017826996,2.445969159088925,2.1024350239688374,1.012033215348439,1.0199353611874118,15.674753844444444,passed,
2024/12/15 11:00:00,0.7242282777221548,0.6541453724149957,77.14108453033259,96.4082432132986,2.566978254097085,2.61,2823.7007288573986,3278.2114892232053,0.9936328172642728,1.0027228109853554,30.22147312335045,1.5444886863882472,2.106939960054831,1.0062311758616822,1.0173907983552068,15.663475972222221,passed,
2024/12/15 11:15:00,0.7184501482955667,0.6494609076408288,76.85541047470367,96.09946781112406,2.5546343397644904,2.58,2830.9976941416867,3297.8392840168462,0.9935565103716537,1.002430615844389,30.404781884685953,1.2675013482145823,2.111791339172439,1.0031223344345108,1.0156122328439723,15.656937407222221,passed,
2024/12/15 11:30:00,0.7197002308623957,0.6503406753512607,76.69396581037412,95.99993693159684,2.5532420844490247,2.59,2825.532221830606,3304.084948167308,0.9933765347270404,1.002354857283568,30.306739006170538,0.7909803760165172,2.106267544576048,1.0035081227653806,1.0161051940437151,15.650396520000005,passed,
2024/12/15 11:45:00,0.7236375054627472,0.6543880864962016,76.98653426525499,96.4146305085524,2.5630789288077453,2.59,2814.693724080404,3290.3682437801313,0.9937467431555896,1.0029034530985623,30.40952532564009,1.0559899873144984,2.1090630969892556,1.0064442944511085,1.0172446632607826,15.64775568888889,passed,
2024/12/15 12:00:00,0.7264959722832731,0.6566552433862352,77.27798140801005,96.83092514544514,2.568734968460585,2.59,2820.3773152317644,3288.8901423622337,0.9936370783977924,1.0029087764818443,30.190762296226527,1.2392141800673908,2.1044155493514487,1.0074705392780854,1.0182019202509274,15.693088949999998,passed,
2024/12/15 12:15:00,0.7247112724520641,0.6556936537545052,77.77359260924369,97.4984196230483,2.5662669684005412,2.6,2834.969341573452,3322.964041009378,0.9935978291051119,1.0029708519991574,30.47073530333126,0.9213821148865725,2.113920270995186,1.0065459606881926,1.017788199680734,15.80290103333333,passed,
2024/12/15 12:30:00,0.7354602466136374,0.6648597655691192,78.23412034340397,98.22796441833889,2.592439024517579,2.59,2819.7912507778788,3277.990878735179,0.993713527283092,1.0035625792098493,30.15614919516914,1.9686132066454973,2.1003506781109484,1.0121169120776465,1.0211087919315303,15.808128355555557,passed,
2024/12/15 12:45:00,0.7268638319489829,0.6582646826099038,76.94364687536985,96.6590827615047,2.5770539594603625,2.57,2795.1363541758674,3258.1504302506937,0.9937685258374082,1.0032962604896751,30.59442833681841,1.9889999857282556,2.1096876034023735,1.009289946174233,1.0184039179911895,15.599646675555555,passed,
2024/12/15 13:00:00,0.7189176278535847,0.6497201103189116,76.62182915211447,95.931374026785,2.5469240900701196,2.59,2831.7884282025743,3290.60018785182,0.9936569715699066,1.0021746684976203,30.05096881186775,1.0349073854650033,2.1113686182259794,1.00301246063166,1.0158535586440545,15.593259054999997,passed,
2024/12/15 13:15:00,0.7190089595877232,0.6494963094905862,76.47780445497432,95.8116079479311,2.544588019564929,2.59,2831.9265115436847,3292.0642854236216,0.9935172901284074,1.0020088270419474,29.894677623146233,0.8833499258622612,2.107230438678293,1.0025572233440383,1.015919693936949,15.583033613888889,passed,
2024/12/15 13:30:00,0.7159747025338958,0.6471202936352165,76.37045628350144,95.68121863322706,2.5386996369623493,2.58,2835.9228373849364,3298.0780699849543,0.9935576239501641,1.0018896236487826,30.011818915686646,0.8735775493572063,2.112525494185978,1.001061700484981,1.0149697414931422,15.572385876666665,passed,
2024/12/15 13:45:00,0.7183155502549176,0.6488056221825969,76.35010689744165,95.70439493477178,2.5423403656704444,2.59,2830.05220783875,3290.977325342129,0.9934415590532646,1.0018995745423889,29.873339599520836,0.871880539956672,2.109713119651898,1.0019239752082985,1.0157330255407522,15.561740461666666,passed,
2024/12/15 14:00:00,0.7153548409522549,0.6469449178585854,76.24624152487829,95.62286200537416,2.5371080867518225,2.59,2831.358893448323,3298.0990709533644,0.9935855100487357,1.0019216075620538,30.099913486223343,0.820792385589729,2.1144521234530687,1.0010281696084498,1.0148155659743636,15.551097368888884,passed,
2024/12/15 14:15:00,0.7172643905780455,0.6483708209193825,76.23829026668312,95.66160352012623,2.5406771377102952,2.57,2824.586364657402,3292.0729966098384,0.9935026299130985,1.0019779119061623,30.036244354021836,0.8394978655863895,2.114116917078519,1.0017536048993005,1.0154268741877561,15.540456598333334,passed,
2024/12/15 14:30:00,0.7144028169099398,0.646179683930263,76.06134234525247,95.48823156969071,2.5339125055546305,2.58,2828.397680195643,3300.392527026128,0.9935235035558692,1.001840090668562,30.100786685827238,0.7046183474648182,2.1147811480857373,1.0003516147063645,1.0145418976422318,15.52981815,passed,
2024/12/15 14:45:00,0.7139242500985827,0.6455653120995908,75.93143791414833,95.37415391169384,2.531686721398214,2.58,2828.230247218426,3301.747009729806,0.9934175383856861,1.0017109738740242,30.019058404374608,0.6326164549167517,2.1130955765468653,0.9996884627542825,1.0144026194395048,15.519182023888888,passed,
2024/12/15 15:00:00,0.7129754058353514,0.6448175361815034,75.86973368466023,95.31314353897892,2.5287362038525565,2.59,2831.3520325886398,3301.572467947463,0.9934452664447314,1.0016106389378543,29.97766895143179,0.6539178390679902,2.11346332963367,0.999193093807936,1.0141205799243675,15.508548220000002,passed,
2024/12/15 15:15:00,0.7105138623811881,0.6427966022507299,75.70261343304284,95.15215272108519,2.523461139911674,2.58,2832.9251467650975,3308.6066142018212,0.9933963932965825,1.0014764291346474,30.044445353116146,0.5574075821977914,2.1155746826536683,0.9977478462270322,1.013346383349612,15.497916738333332,passed,
2024/12/15 15:30:00,0.7118103602733759,0.6443957946835234,75.7706591558581,95.28636411751191,2.5273592107546494,2.58,2825.8686006442767,3301.985134189287,0.9935266168487425,1.001709586030455,30.175550742336597,0.6638857127669738,2.1185640471119433,0.9991193373345584,1.0137836404732241,15.487287578888887,passed,
2024/12/15 15:45:00,0.7137641775241265,0.6458268268573015,75.75332054705967,95.31328902962034,2.5307896796158196,2.58,2819.4560852308127,3295.8923636438735,0.9934226829620676,1.0017419759216792,30.093390010038863,0.6706550081789016,2.1175719144347744,0.9998475277922263,1.0144253793429423,15.476660741666665,passed,
2024/12/15 16:00:00,0.7113648770416435,0.6438962525797872,75.60323267615313,95.09955693756469,2.5249833496885596,2.57,2823.895751138063,3301.3075016177627,0.9934795955603057,1.0016158431086877,30.129711396361305,0.5470975451935588,2.1166783794280133,0.9987661147989473,1.013654948013502,15.466036226666668,passed,
2024/12/15 16:15:00,0.7115845393816793,0.6442117444593547,75.66915125772307,95.13269926038339,2.5284047950634476,2.58,2815.4960938454014,3298.9008497512687,0.9935375597303798,1.0018312870352182,30.375319036555112,0.6008393877733738,2.125154963569674,0.9992020847893376,1.0136816613700042,15.45967055111111,passed,
