datetime,eta1,eta2,m1,m2,cop,cp1,cp2,Speed line X,igva1,igva2,Q,status,error,cop_given,Speed line x,Evaporator pressure,k1,k2
2024/12/15 11:00:00,,,,,,,,,,,15.663475972222221,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 11:15:00,,,,,,,,,,,15.656937407222221,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 11:30:00,,,,,,,,,,,15.650396520000005,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 11:45:00,,,,,,,,,,,15.64775568888889,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 12:00:00,,,,,,,,,,,15.693088949999998,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 12:15:00,,,,,,,,,,,15.80290103333333,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 12:30:00,,,,,,,,,,,15.808128355555557,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 12:45:00,,,,,,,,,,,15.599646675555555,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 13:00:00,,,,,,,,,,,15.593259054999997,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 13:15:00,,,,,,,,,,,15.583033613888889,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 13:30:00,,,,,,,,,,,15.572385876666665,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 13:45:00,,,,,,,,,,,15.561740461666666,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 14:00:00,,,,,,,,,,,15.551097368888884,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 14:15:00,,,,,,,,,,,15.540456598333334,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 14:30:00,,,,,,,,,,,15.52981815,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 14:45:00,,,,,,,,,,,15.519182023888888,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 15:00:00,,,,,,,,,,,15.508548220000002,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 15:15:00,,,,,,,,,,,15.497916738333332,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 15:30:00,,,,,,,,,,,15.487287578888887,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 15:45:00,,,,,,,,,,,15.476660741666665,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 16:00:00,,,,,,,,,,,15.466036226666668,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 16:15:00,,,,,,,,,,,15.45967055111111,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 16:30:00,,,,,,,,,,,15.444794163333333,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 16:45:00,,,,,,,,,,,15.438431971111106,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 17:00:00,,,,,,,,,,,15.549832222222221,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 17:15:00,,,,,,,,,,,15.527791546666665,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 17:30:00,,,,,,,,,,,15.51004791111111,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 17:45:00,,,,,,,,,,,15.500868631111109,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 18:00:00,,,,,,,,,,,15.49168192,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 18:15:00,,,,,,,,,,,15.478216746666668,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 18:30:00,,,,,,,,,,,15.469018888888884,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 18:45:00,,,,,,,,,,,15.459813600000002,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 19:00:00,,,,,,,,,,,15.446340995555554,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 19:15:00,,,,,,,,,,,15.437124559999999,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 19:30:00,,,,,,,,,,,15.446014491111109,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 19:45:00,,,,,,,,,,,15.478503541111113,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 20:00:00,,,,,,,,,,,15.511008149999997,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 20:15:00,,,,,,,,,,,15.54352831777778,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 20:30:00,,,,,,,,,,,15.571775480555557,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 20:45:00,,,,,,,,,,,15.604318986666664,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 21:00:00,,,,,,,,,,,15.632152213333336,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 21:15:00,,,,,,,,,,,15.664718941666663,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 21:30:00,,,,,,,,,,,15.697301228888886,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 21:45:00,,,,,,,,,,,15.729899074999995,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 22:00:00,,,,,,,,,,,15.751113620000002,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 22:15:00,,,,,,,,,,,15.536273927777776,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 22:30:00,,,,,,,,,,,15.531206374444443,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 22:45:00,,,,,,,,,,,15.52998535,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 23:00:00,,,,,,,,,,,15.529183835,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 23:15:00,,,,,,,,,,,15.523690966666662,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 23:30:00,,,,,,,,,,,15.527149684444442,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2024/12/15 23:45:00,,,,,,,,,,,15.521653797222223,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 16:30:00,,,,,,,,,,,10.927238263333333,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 16:45:00,,,,,,,,,,,10.875576249999998,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 17:00:00,,,,,,,,,,,10.863195786666664,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 17:15:00,,,,,,,,,,,10.888178949999995,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 17:30:00,,,,,,,,,,,11.031902908888888,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 17:45:00,,,,,,,,,,,11.30915093,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 18:00:00,,,,,,,,,,,11.043560464444447,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 18:15:00,,,,,,,,,,,11.899135172222216,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 18:30:00,,,,,,,,,,,11.91216225833333,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 18:45:00,,,,,,,,,,,11.933377500000002,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 19:00:00,,,,,,,,,,,12.094308893333332,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 19:15:00,,,,,,,,,,,11.919072378888888,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 19:30:00,,,,,,,,,,,10.978174350000002,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 19:45:00,,,,,,,,,,,10.71574977,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 20:00:00,,,,,,,,,,,10.774449626111107,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 20:15:00,,,,,,,,,,,10.83326187777778,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 20:30:00,,,,,,,,,,,10.883906641666666,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 20:45:00,,,,,,,,,,,10.909773062222223,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 21:00:00,,,,,,,,,,,10.927369817222223,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 21:15:00,,,,,,,,,,,10.967978633333333,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 21:30:00,,,,,,,,,,,11.008461933333335,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 21:45:00,,,,,,,,,,,11.048994000000002,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 22:00:00,,,,,,,,,,,11.093772250000004,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 22:15:00,,,,,,,,,,,11.673299757777777,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 22:30:00,,,,,,,,,,,12.317505566666663,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 22:45:00,,,,,,,,,,,12.22494295,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 23:00:00,,,,,,,,,,,12.15261432,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 23:15:00,,,,,,,,,,,12.085558527777776,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 23:30:00,,,,,,,,,,,12.009937335,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/24 23:45:00,,,,,,,,,,,11.943058263888888,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/26 18:15:00,,,,,,,,,,,11.644301239999997,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/26 18:30:00,,,,,,,,,,,11.662856492222224,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
2025/01/26 18:45:00,,,,,,,,,,,11.681715839444445,failed,cannot access local variable 'm1' where it is not associated with a value,,,,,
