datetime,eta1,eta2,m1,m2,cop,cp1,cp2,Speed line X,igva1,igva2,Q,status,error,cop_given,Speed line x,Evaporator pressure,k1,k2
2025/04/28 13:00:00,0.7196258077576022,0.6718816850513132,86.86566704583565,110.14915334324552,2.767775695604413,2885.215591114764,3119.7587196270324,0.9820152837865769,36.12903834180905,14.3336200688477,16.620421950000004,passed,,2.79,0.9981226126991505,2.6965559635842076,1.0110689793395067,1.0068475940790056
2025/04/28 13:15:00,0.7214602997811432,0.6698480508657222,86.13109894066022,109.3630719124265,2.761527628172667,2865.0740348447976,3115.515391802717,0.9818529432648435,35.91457876888147,14.007638158817834,16.51556293444444,passed,,2.75,0.9979613768118294,2.68644695848591,1.004235599028945,1.0047456478746855
2025/04/28 13:30:00,0.7168984862301059,0.6699476734796901,86.15710030285287,109.26948538647451,2.7683271407209946,2849.9474826792466,3078.186027683767,0.9821899938867331,36.483802221514416,15.10931106394089,16.411012890555554,passed,,2.77,0.998251428152514,2.7316805000122883,1.0237219594420368,1.0186455013317939
2025/04/28 13:45:00,0.7201440046922061,0.6685855513455191,85.33563947946092,108.53175808226331,2.772025585559907,2820.2551761179498,3062.1514750360534,0.9816703885876316,36.23910587689333,15.367301036253561,16.306181741666666,passed,,2.79,0.9980869096232352,2.719013711389846,1.0255264728168096,1.0260856204314537
2025/04/28 14:00:00,0.7232030991702493,0.6652986295818936,84.55521035085619,107.70410289162962,2.7633860423880408,2810.7337553463735,3056.927057291625,0.9813676962854541,35.90087285153894,14.666188692189246,16.214611991111113,passed,,2.77,0.997649576625244,2.6928114823773512,0.9864529122911299,0.9949036380669296
2025/04/28 14:15:00,0.7139637000067613,0.6694873369864116,84.08986663141668,107.65430053424897,2.7648742200309995,2794.4069126914155,3044.0088261776145,0.9819084387420501,37.1226704387818,14.329167429188429,16.142485162222222,passed,,2.79,0.9983375506799831,2.70705496890449,0.9736262572137251,0.967289281295823
2025/04/28 14:30:00,0.7205944632261129,0.6632223239084761,83.48161720165604,106.67977238806284,2.751098885336835,2777.4556163630145,3061.5204932506863,0.9812435785582337,36.40592062553338,13.397861957140384,16.063600666666662,passed,,2.8,0.9976308587128067,2.699518991947044,0.958400170193103,0.9669483487164926
2025/04/28 14:45:00,0.7210580663364357,0.6627339087784597,83.10661289728503,106.35286195391075,2.755504969915342,2757.69221752437,3045.7779139380705,0.9809904636714245,36.471801960666696,13.795350846955671,15.991490789999997,passed,,2.81,0.9976175569039997,2.707558803937668,0.9631369844796357,0.9729551726843987
2025/04/28 15:00:00,0.718374125881935,0.6624650842453879,82.74330224988971,106.04980535867757,2.753025556801748,2746.529702582465,3035.873274471311,0.9811085669909281,36.846168020817096,13.570039279485307,15.919103175555556,passed,,2.78,0.9977094846090588,2.716313412918861,0.9500867704268658,0.9575406761442027
2025/04/28 15:15:00,0.7145894557706695,0.6618887873865471,82.36429837882805,105.6273751238043,2.752094318095448,2725.0229992912236,3030.2716730323327,0.9810165746783123,37.37530132138394,13.447230840124448,15.839113766666662,passed,,2.78,0.9978172209254921,2.744210589478984,0.9521974260798362,0.9563457229618503
2025/04/28 15:30:00,0.7179438291546342,0.6571925024727078,81.98105460262798,104.88256510315864,2.7460300336728203,2725.081530737508,3015.4391233341785,0.9806950653133167,36.54501698896885,14.111887758133733,15.763642124999995,passed,,2.79,0.9972034280354384,2.73411333716421,0.9654115900470698,0.9789321207698147
2025/04/28 15:45:00,0.7076201028239575,0.6615265024538874,81.57554438311774,104.7234498844292,2.7507151049674285,2698.1040241245514,3002.965517962609,0.9811643413445114,37.830598628879905,14.206073690504041,15.682018103888892,passed,,2.79,0.9980228873739573,2.769689633223567,0.9828608677844715,0.9795697478880313
2025/04/28 16:00:00,0.7122564509607239,0.6560632288200166,81.16039942304346,103.93045248714263,2.7461620294662845,2699.613937278801,2983.5553195014318,0.9807022378079617,37.070858054773325,14.520662692897082,15.60690362,passed,,2.77,0.997275898569084,2.752852203993499,0.9686489679512121,0.9771764618395528
2025/04/28 16:15:00,0.7025049976691012,0.6584131548098376,80.9162168339704,103.73945555530722,2.7482363485443337,2682.5538115931517,2966.5517835484548,0.9811726718585563,38.16366281768028,14.741810277092618,15.525077333333334,passed,,2.79,0.9978492512020886,2.7933979177023915,0.9801255347784251,0.9747649849493467
2025/04/28 16:30:00,0.7102526675627377,0.65195936901223,80.22633438630922,102.68760709181083,2.740077768689291,2678.3707224866,2960.1689763545573,0.9804027768056885,37.135701363845314,14.36988580244395,15.450037276666666,passed,,2.77,0.9969106166991444,2.7578278003460985,0.9517738611563472,0.9631304955156259
2025/04/28 16:45:00,0.69950316655363,0.6532543312695144,80.04353256858732,102.42082764305088,2.736316266752594,2660.316219363153,2958.5638673561375,0.9808249235494914,38.27447333809696,14.27613222618405,15.375032982222221,passed,,2.78,0.9974176966041698,2.8137532412317285,0.9717568880627077,0.9695077580861913
2025/04/28 17:00:00,0.7046772130197947,0.6508336416133356,79.08537243269936,101.44058053464056,2.733833948797467,2634.4320337638874,2959.66260109228,0.9800966274961805,37.73269002613694,13.902867614699444,15.293325825555561,passed,,2.78,0.9970385642172221,2.780550807817602,0.9673157063857901,0.974126277997825
2025/04/28 17:15:00,0.7012003023142828,0.6509401957674994,78.6283355437677,100.97358193634291,2.7361584682818747,2611.4303515404913,2950.5267261464173,0.9799125772103268,38.15809505884998,14.006093685490722,15.218395958333343,passed,,2.79,0.9971756426391567,2.800495601709458,0.9764822535281604,0.9792993693541366
2025/04/28 17:30:00,0.69836961216568,0.6483350159480141,78.32329561025742,100.43247122388235,2.733473772289492,2608.215265909758,2929.4421531777434,0.9798694868324727,38.24830014828944,14.37853216509168,15.137041315000003,passed,,2.81,0.9969346277799395,2.814592620659022,0.9733086402069474,0.9761915055353496
2025/04/28 17:45:00,0.6949609103507494,0.6459648674087554,78.03330843560462,99.89252386842773,2.727557118166449,2606.0742492856743,2916.0516583073345,0.9799351731910464,38.19167513186593,14.907166781576569,15.061913826666672,passed,,2.78,0.996747280393229,2.829474174621785,0.9918674952299658,0.9938460315908995
2025/04/28 18:00:00,0.6956337481204213,0.6481234214348961,78.06709825010033,100.14206058264872,2.7320623534540665,2596.758778385157,2926.6908850488776,0.9798259621943398,38.33785297323657,14.793375820176433,15.09040888666666,passed,,2.79,0.9969932378121653,2.8297482357380965,1.0020489387048115,1.0021366368692664
2025/04/28 18:15:00,0.6978460828289612,0.6468966852009731,78.60182430412407,100.57414794917469,2.734921430876434,2615.194363436734,2920.9709400327847,0.9797934166355234,37.97595653087794,15.482097964474228,15.140977133333324,passed,,2.78,0.9967408025995602,2.8345237903056995,1.0089203235987725,1.0131257382428402
2025/04/28 18:30:00,0.6968523807413904,0.6528354379279995,78.68820652837965,101.16603445334931,2.7479966700159455,2590.642591325813,2937.715286892377,0.9797125129232203,38.69983314558312,15.147669979304302,15.191909040000006,passed,,2.8,0.9975041061925334,2.8459724688322123,1.0238149520534379,1.0191524026075476
2025/04/28 18:45:00,0.7062778444195776,0.6499174378239153,79.20930210823053,101.59861524324235,2.7493728655675556,2618.803324645238,2937.1755234668526,0.97937437557848,37.64793105616935,15.465949867111895,15.275457486666664,passed,,2.8,0.9968383542202565,2.812146782740433,1.0014679855004918,1.0117706008878589
2025/04/28 19:00:00,0.7075857926210704,0.6495960979226366,79.84658117979956,102.19223218188903,2.7488325193249126,2635.6429389847276,2951.7441615476723,0.9793833336639823,37.619075812591625,15.255093204489983,15.358791359999994,passed,,2.81,0.9967311902237114,2.8233601105108534,0.9936247431248643,1.0057062460826407
