datetime,Temp in cp1,Temp in cp2,Pressure in cp1,Pressure in cp2,Efficiency comp1,Efficiency comp2,Mass flow comp1,Mass flow comp2,pr comp1,pr comp2,error
2024/12/15 00:00:00,1.5636964227186922,52.635356909484756,2.164997741313426,8.62,0.6919849817670947,0.622476806992932,76.2512350650724,94.8808514613674,3.9815284032446874,3.3201856148491884,
2024/12/15 02:30:00,1.8395280159339222,52.672515758547604,2.1766485261113866,8.62,0.6931296275021527,0.6228682021718949,76.54055487985039,95.12176336992569,3.960216772066435,3.3549883990719263,
2024/12/15 05:00:00,1.4657704792247728,52.63200417275357,2.173147578162782,8.66,0.6929738751716215,0.6222977726091635,76.50118703524973,94.77065205829543,3.985003175587974,3.3602771362586603,
2024/12/15 07:30:00,1.300508623610881,51.93066076873163,2.1615566349110344,8.53,0.6944831815591248,0.623864225575379,76.88267820854388,95.73483658083575,3.9462301668311723,3.332942555685815,
2024/12/15 10:00:00,1.4337696087038125,51.93411416035747,2.1610200663983776,8.48,0.690085263989751,0.6226235458524217,75.77106379580148,94.97117229464169,3.9240727709359167,3.3054245283018866,
2024/12/15 12:30:00,1.509928389919935,52.28894225589778,2.15753188508334,8.550000000000002,0.691850785353646,0.6238007021524314,76.21731567823171,95.69573658705872,3.9628614803390203,3.348538011695906,
2024/12/15 15:00:00,1.639272964171255,52.95907740692223,2.169432174445112,8.65,0.6857291523094239,0.6207305115627819,74.67001620884471,93.8059701455162,3.98721845370089,3.3560693641618498,
2024/12/15 17:30:00,1.5638944897182228,51.94258516249516,2.171398956719086,8.460000000000003,0.6848544894775743,0.6213946485791818,74.4489370742679,94.21476035236203,3.8961057680449422,3.3309692671394795,
2024/12/15 20:00:00,1.622323902319522,52.02612537651078,2.167281043482164,8.45,0.6851009113982307,0.6207806444590538,74.51122249783303,93.83682799040108,3.898894435224427,3.312426035502959,
2024/12/15 22:30:00,1.6864336843394767,52.29633600927127,2.167608988521501,8.49,0.6858499858079102,0.6200713840116646,74.70055799511681,93.40026336920106,3.916758070739928,3.3239104829210837,
2025/01/24 17:30:00,3.435255825473007,60.233371496507914,2.1539820307495665,7.800000000000001,0.5043834266411994,0.5263145882870399,46.97159918405858,59.22486947303724,3.6212001254651462,3.082051282051282,
2025/01/24 20:00:00,3.5290794756568857,60.882024001779826,2.164629671678409,7.720000000000001,0.4908894160069381,0.5163221960805063,45.49169728575842,56.76434446065164,3.5664299076220614,3.0673575129533677,
