datetime,eta1,eta2,m1,m2,cop,cop_given,cp1,cp2,Speed line X,Speed line x,igva1,igva2,Evaporator pressure,status,error
2024/12/15 00:00:00,0.6994622336463673,0.7164727728905971,78.56260991286669,97.75693882464677,2.6121116955960275,2.63,2988370.0505691287,3039028.843628258,0.9939510622099752,1.0008436576732411,29.93367677690207,2.218104548141716,2.105889023296344,passed,
2024/12/15 02:30:00,0.698458484587275,0.716796168530326,78.81071031695471,97.9430283665038,2.6102152961223988,2.6,2993655.5320706693,3070102.6374657475,0.993470160497945,1.000646807499372,30.205706397281183,0.9882312894104583,2.1164680823034883,passed,
2024/12/15 05:00:00,0.6991696906123835,0.7167805747798757,78.81007130257497,97.63092751311586,2.6058482669602014,2.61,2996538.392963919,3056162.4971761615,0.9941016407040999,1.0007739842658794,29.979981981793152,0.9094558991377167,2.1150359084461816,passed,
2024/12/15 07:30:00,0.6966508402372744,0.7161234756395849,79.03641960346,98.41669009171878,2.616522254083412,2.63,2994113.6045213956,3071334.584156894,0.9943817391300795,1.0015994014184268,30.490518837369695,2.7592007884231626,2.1045422050441793,passed,
2024/12/15 10:00:00,0.6952538136239024,0.7156666300478104,77.9898823729354,97.75223132724847,2.6206648286208845,2.65,2952233.8009592905,3038264.5793210687,0.9941738898821716,1.0017741622705123,30.810384455216028,3.672045340653194,2.1025512826161035,passed,
2024/12/15 12:30:00,0.6983978395152964,0.7164492373020147,78.49294706424482,98.55293799525984,2.605982420589794,2.59,2979875.0093796873,3086216.6997032207,0.9940218897642421,1.0013194980460784,30.15614919516914,1.9686132066454973,2.0997276226849078,passed,
2024/12/15 15:00:00,0.6993171967664555,0.7168190298705354,77.17442557531183,96.95219351857529,2.5956888480786597,2.59,2940608.9020072445,3034124.2527310415,0.9938420821972441,1.0007265322866183,29.97766895143179,0.6539178390679902,2.1090192029533275,passed,
2024/12/15 17:30:00,0.6923240127335447,0.7161929709318501,76.75346233168649,97.13112562749097,2.6113641037799225,2.65,2904243.4268379724,3035199.444671396,0.9939698020284758,1.0018968316177728,31.445293122745063,2.405271382364696,2.111331522483675,passed,
2024/12/15 20:00:00,0.6930164215988354,0.7159526373313531,76.82408378196439,96.74956461193482,2.619171266264956,2.65,2907485.4797395677,3014619.8631917937,0.9938711921991089,1.0017959443105653,31.312374554545656,3.0708472711994794,2.10698452244622,passed,
2024/12/15 22:30:00,0.6945022154332614,0.7162748718532417,77.05728051567802,96.34694154693258,2.6194576419724847,2.65,2920890.747772739,3008277.995245853,0.9937644388522041,1.001427816081694,31.01378430917999,2.4486214020576895,2.1068965268421005,passed,
2025/01/24 17:30:00,0.6691717401018268,0.7128431324002438,53.40770752188203,67.33993651021164,2.723156907402343,2.5,2008560.1799315135,2042584.6068051322,0.9907892713912738,1.0026778831877037,36.20761163069816,7.091363273263951,2.0857769377374304,passed,
2025/01/24 20:00:00,0.6642957340133847,0.7119526547401328,52.154988298801726,65.07877036413109,2.7448964360968886,2.51,1951970.3461781584,1973296.0079258454,0.9905958171176972,1.002935518625554,37.08853933103059,7.872555963953611,2.097242690209158,passed,
2025/01/24 22:30:00,0.6588968768934351,0.7057673061107362,60.33719730716335,74.26654948200657,2.7467554520160378,2.8,2240833.46750257,2243550.301582507,0.9937314447334191,1.004990271399252,37.75487403008257,11.93598295305941,2.111443929850532,passed,
2025/01/26 19:15:00,0.6769185597506353,0.7129445830065552,57.67662019977982,72.92240348462825,2.7058515336390063,2.47,2163342.8719667518,2194470.187810774,0.9898182592930486,1.0012571674264898,34.88289258462942,7.276843442893848,2.1438085390577357,passed,
2025/01/26 21:45:00,0.6776496983012726,0.7131667314944968,57.45018573494398,72.54260223375103,2.7044519478130975,2.52,2157965.857884476,2184809.8233389333,0.9899418070552674,1.001225501032141,34.73489410223596,7.067105036550279,2.136779316586356,passed,
2025/01/27 00:15:00,0.6760616084912483,0.7140510246082697,56.08116649878744,70.81550658217135,2.705484142822584,2.49,2107956.175441654,2130431.462283248,0.9896648560333656,1.0010238562115776,35.05633643714874,6.1794999861509154,2.1450470360394918,passed,
2025/01/27 02:45:00,0.6730779626887523,0.7144774315000207,54.946040773913474,69.3905328537068,2.7078923811765274,2.49,2064237.1577260266,2084676.5562044352,0.9896141346766937,1.0010836761817052,35.60882854284814,5.662618826039942,2.155223918706075,passed,
2025/01/27 05:15:00,0.6722184462811673,0.7136578661228957,55.68753243178257,70.1904916691394,2.712756813500922,2.39,2081013.8915224897,2102210.0627837228,0.9895576950322643,1.0011765088549813,35.7702291818146,6.575142953783363,2.1808858915908846,passed,
