datetime,Comp1 eff,Comp2 eff,Comp1 m,Comp2 m,pr1,pr2,X,x,cop,cop_given,error
2024/12/15 00:00:00,0.7225951605433432,0.6694957250748921,78.17373380480677,97.27305294116952,3.9976696744865765,3.3201856148491884,0.9924995056627298,1.000294597597637,2.606183488295772,2.63,
2024/12/15 00:15:00,0.7054893039026696,0.6576334118346097,77.25427824979548,96.12325639435142,3.960059934256314,3.338747099767982,0.9919998029187027,0.9993320145794036,2.5731021423932425,2.61,
2024/12/15 00:30:00,0.7048795065746917,0.6570544437257279,77.02479668701481,95.82415556624196,3.9662898371904136,3.3433874709976803,0.9922032807372246,0.9993672710472865,2.569426625574867,2.6,
2024/12/15 00:45:00,0.7013287976790101,0.6543293353411439,76.34285270623482,95.00716542341569,3.9531513799987925,3.3495934959349594,0.9922237800048018,0.9993337692332028,2.5628442280088404,2.61,
2024/12/15 01:00:00,0.7108072162651118,0.6613381654881687,77.37480363783042,96.28168513998602,3.973825624212501,3.341463414634146,0.9924437013242413,0.9998356930393952,2.581519312319954,2.59,
2024/12/15 01:15:00,0.7155295957689553,0.6644260941524228,77.62156251371594,96.57507128112313,3.9921059107388595,3.346109175377468,0.9923977912692341,0.9998886341196276,2.5874190846317235,2.61,
2024/12/15 01:30:00,0.7128587275010605,0.6627595475793638,77.74751294611235,96.71987176719968,3.980270010391656,3.3449477351916377,0.9925051430918714,0.9999289117328309,2.5842639224185793,2.6,
2024/12/15 01:45:00,0.7144135179612375,0.6639309305191466,77.92143912160883,96.92431246928349,3.9870430232323524,3.343786295005807,0.9923897776227624,0.9998677827543226,2.5869365950705876,2.58,
2024/12/15 02:00:00,0.7217596169192679,0.6690526801566216,78.35215153072997,97.4459245297469,3.9898200721589863,3.3495934959349594,0.9923697166480409,1.000255823973436,2.601475928919741,2.61,
2024/12/15 02:15:00,0.7222226936667077,0.6692624444227984,78.44488253261729,97.54925302456827,3.988012680325687,3.3484320557491287,0.9922210879383273,1.0001975323295593,2.6031668481577985,2.61,
