datetime,Evaporator temp,Souce_temp_in,Souce_temp_out,Condensor temp,Sink_temp_in,Sink_temp_out,COP,Compressor Power [W],Condensor load[W],Temp difference,Intermediate pressure [bar],error
2024/12/15 00:00:00,-0.08,7.01,3.7,104.31,60.38,97.12,2.2787258002544752,6909047.922970012,15744239.145555556,99.27620648485608,8.62,
2024/12/15 00:15:00,0.1,7.24,3.91,104.35,60.39,97.14,2.2802382605090523,6889129.540713663,15709267.291666664,99.13504073009418,8.62,
2024/12/15 00:30:00,-0.08,7.15,3.82,104.39,60.41,97.15,2.275603186361535,6883850.312354843,15665319.584444448,99.34558677273687,8.62,
2024/12/15 00:45:00,-0.04,7.14,3.81,104.43,60.43,97.16,2.274259913540749,6840474.707094926,15557422.05722222,99.34133433837756,8.61,
2024/12/15 01:00:00,-0.05,7.07,3.73,104.47,60.45,97.18,2.272524337306141,6901810.463646117,15684938.414444445,99.38578445240181,8.61,
2024/12/15 01:15:00,-0.07,7.01,3.7,104.51,60.46,97.19,2.270618611713133,6922251.663891519,15718203.55111111,99.44000291409827,8.61,
2024/12/15 01:30:00,-0.05,7.04,3.72,104.55,60.48,97.2,2.2693885706052925,6938772.507784298,15747180.240000004,99.45513338447067,8.61,
2024/12/15 01:45:00,-0.06,7.06,3.73,104.59,60.5,97.22,2.2676509776461558,6958755.197569616,15780436.32,99.49957465062818,8.61,
2024/12/15 02:00:00,-0.06,7.08,3.75,104.63,60.51,97.23,2.2660807529217264,6978252.530410981,15813692.4,99.53424079893017,8.61,
2024/12/15 02:15:00,-0.0,7.12,3.81,104.67,60.53,97.24,2.2655153480115966,6989380.576871957,15834960.47222222,99.51026420069178,8.61,
2024/12/15 02:30:00,0.07,7.26,3.91,104.71,60.55,97.26,2.2655810655941844,6985981.704090109,15827714.326111114,99.4763601747909,8.62,
2024/12/15 02:45:00,0.0,7.07,3.76,104.75,60.56,97.27,2.2628314245424646,6991266.67885492,15820468.179999996,99.5794324698017,8.62,
2024/12/15 03:00:00,-0.02,7.05,3.77,104.79,60.58,97.28,2.261386038285583,6990624.751124978,15808914.427777776,99.63349071090995,8.63,
2024/12/15 03:15:00,-0.01,7.06,3.77,104.83,60.6,97.3,2.259976993421123,6991778.6724064145,15801670.255555555,99.65836314878557,8.63,
2024/12/15 03:30:00,0.06,7.08,3.79,104.87,60.61,97.31,2.260031725249577,6988404.082823608,15794426.083333332,99.62443762374164,8.64,
2024/12/15 03:45:00,0.01,7.13,3.83,104.91,60.63,97.32,2.257619579295817,6990757.673602631,15782880.226666661,99.70795544891381,8.64,
2024/12/15 04:00:00,-0.02,7.14,3.82,104.95,60.64,97.34,2.256007193466408,6994451.088246021,15779937.73888889,99.77178107414097,8.65,
2024/12/15 04:15:00,-0.02,7.18,3.84,104.99,60.64,97.35,2.2544281310195196,6998044.569303234,15776991.303333329,99.80641504995943,8.65,
2024/12/15 04:30:00,-0.02,7.09,3.78,105.03,60.64,97.36,2.2528469568320424,7001645.213246135,15774040.92,99.84104561982487,8.65,
2024/12/15 04:45:00,-0.01,7.02,3.7,105.06,60.64,97.37,2.252291789401632,7002060.012693145,15771086.58888889,99.85710133944634,8.66,
2024/12/15 05:00:00,-0.01,7.01,3.73,105.1,60.64,97.39,2.250708623994694,7007575.833646638,15772420.124999998,99.89172570052644,8.66,
2024/12/15 05:15:00,-0.04,6.95,3.67,105.07,60.64,97.4,2.251863563984247,7002665.31553254,15769455.924444444,99.89495164225029,8.67,
2024/12/15 05:30:00,-0.08,6.94,3.63,105.05,60.64,97.41,2.2519917879274343,7000950.251942342,15766487.776111107,99.91674367460179,8.67,
2024/12/15 05:45:00,-0.11,6.93,3.67,105.03,60.64,97.41,2.2527430707865794,6995390.824975399,15759229.786666663,99.92861787323697,8.68,
2024/12/15 06:00:00,-0.03,6.96,3.69,105.01,60.65,97.39,2.254859869253766,6979905.828654371,15739120.03888889,99.83309441476965,8.68,
2024/12/15 06:15:00,-0.02,7.02,3.75,104.98,60.65,97.36,2.2566689753487004,6965404.19958918,15719022.134444444,99.79720739577165,8.69,
2024/12/15 06:30:00,0.0,7.0,3.76,104.96,60.65,97.34,2.257790308114711,6923244.195046968,15631646.085,99.76033870111638,8.69,
2024/12/15 06:45:00,-0.0,7.04,3.74,104.94,60.65,97.32,2.259037191012665,6839510.945765799,15451110.259444444,99.74288507076113,8.7,
2024/12/15 07:00:00,-0.05,6.92,3.65,104.91,60.65,97.29,2.25708515986346,7044704.405548126,15900913.208888892,99.76646978077132,8.65,
2024/12/15 07:15:00,-0.1,6.9,3.63,104.38,60.65,97.27,2.2747353055599264,6983421.2270594705,15885855.687777776,99.35674218668927,8.6,
2024/12/15 07:30:00,-0.08,6.91,3.62,103.2,60.65,97.25,2.317654658351152,6847417.123350106,15870380.166666666,98.31341254047784,8.53,
2024/12/15 07:45:00,-0.09,6.91,3.63,103.19,60.65,97.22,2.3169589157449177,6841109.586300464,15851002.383333333,98.31477933566865,8.51,
2024/12/15 08:00:00,-0.12,6.98,3.69,103.18,60.65,97.2,2.316809453843635,6834879.12968747,15835543.350000001,98.3353507000507,8.51,
2024/12/15 08:15:00,-0.14,6.9,3.62,103.17,60.65,97.17,2.31683752937235,6826440.495297994,15816185.073333332,98.34616394632145,8.51,
2024/12/15 08:30:00,-0.1,6.9,3.62,103.16,60.65,97.15,2.317935919621017,6816543.509238016,15800742.527777778,98.29843826761484,8.51,
