datetime,eta1,eta2,m1,m2,cop,cop_given,cp1,cp2,Speed line X,Speed line x,igva1,igva2,Evaporator pressure,k1,k2,status,error
2024/12/15 00:00:00,0.7511880794693928,0.6818074808457789,79.06345751498907,98.38015295227646,2.6386778424264836,2.63,2802.006367693461,3164.708815345867,0.9939929057587853,1.003890001299726,30.586042774283378,4.482995184207323,2.1040895802835626,0.9898132840752779,0.9858701313925982,passed,
2024/12/15 02:30:00,0.746991826340296,0.6785320510415843,79.15064438389416,98.36548581964782,2.6280943629076297,2.6,2812.374550966533,3210.1315467977406,0.9934986743400817,1.0035205482572789,30.80502023066919,3.3347339438283274,2.1152351732974948,0.9876346021015555,0.9840919721619937,passed,
2024/12/15 05:00:00,0.7471110273830025,0.6776798626543895,79.12284549944702,98.01839620129341,2.6222213347158427,2.61,2816.4234185102746,3198.4845971432474,0.9941275755903708,1.0036218532915697,30.62823680738369,3.222778257212231,2.1139172039130756,0.9871203955317382,0.9837166148044606,passed,
2024/12/15 07:30:00,0.7639021603379047,0.6931977112879227,80.16258628003197,99.81900053740794,2.6769206067379074,2.63,2773.147750578719,3155.4480122990963,0.9944752853030178,1.0054903203760237,30.930075993052384,4.743607951121012,2.1005284951853715,0.9987904487383755,0.9918538364924149,passed,
2024/12/15 10:00:00,0.7645958151566815,0.6946851259208795,79.18535494015626,99.25063224004313,2.6860347390527166,2.65,2729.583775169407,3115.1241069958496,0.9942741996203346,1.0057602586571106,31.44567227222687,5.634268413802114,2.098248097487815,0.9997837816332236,0.9928283980658807,passed,
2024/12/15 12:30:00,0.7605252548093655,0.6914573739452482,79.44066176010888,99.74285468398162,2.6564420335351766,2.59,2772.6264710392384,3178.238692210041,0.9941009716038082,1.0049032388125727,30.927126961069753,4.067528109036935,2.096336383079835,0.99518790316086,0.9900355405274524,passed,
2024/12/15 15:00:00,0.7383891946194369,0.6728737128477519,77.15153890427948,96.92344159794361,2.5944856992373615,2.59,2784.103827788404,3193.4000083509413,0.9938401589851119,1.0030497919527321,30.464419472844902,3.1155264266646228,2.109102065160619,0.9825190527887218,0.9808940133343971,passed,
2024/12/15 17:30:00,0.7458391529728495,0.6814195525398941,77.26420188221645,97.77746399371433,2.6390950598226164,2.65,2715.499095817056,3161.5335837688017,0.9940130803637313,1.0050229574240999,32.05401014953814,4.617674063660647,2.1094667940215155,0.9904129227073213,0.9862855456433449,passed,
2024/12/15 20:00:00,0.7511468638275944,0.684337512346997,77.51364284761603,97.61797118565137,2.6570096825703073,2.65,2708.8494745769194,3128.919296741646,0.993929714297105,1.0051844057439872,31.948729666597572,5.2113728349858945,2.1044666105464316,0.9929196129396383,0.9880525114451755,passed,
2024/12/15 22:30:00,0.7485573060474636,0.6803447834249174,77.5648855753829,96.98161480154278,2.6471276368810464,2.65,2729.513285666604,3137.678820243311,0.9938074919961106,1.004612215714038,31.609441008155883,4.6593240823269015,2.105043359894007,0.9902915247482669,0.9860441641879086,passed,
2025/01/24 17:30:00,0.629216633897761,0.6300380982463085,51.44018086817709,64.85915000784456,2.562653698499319,2.5,2051.9616920490266,2252.9129444846303,0.9906173706024342,0.9999240335754452,35.93430504778141,9.861984605019765,2.093200275029152,0.9483162328359879,0.9568560185620629,passed,
2025/01/24 20:00:00,0.6287406520416208,0.6303426914295414,50.34192230353616,62.81643440338055,2.5898344084574045,2.51,1985.782043087822,2174.5031052312725,0.9904385615416135,1.0004633109236325,36.86966337121251,10.493745497498022,2.1040654517633377,0.9508141548027821,0.9582631205228019,passed,
2025/01/24 22:30:00,0.6950878916211559,0.6831987817839769,60.66447407613297,74.66938086035614,2.7726103807829405,2.8,2136.6415078327677,2305.924837601024,0.9937603832223594,1.007340413872199,38.031784215396215,13.394717457208259,2.1101959440274896,0.9912088416942897,0.9902885399617815,passed,
2025/01/26 19:15:00,0.6519726726470254,0.6482745051588151,56.16148812381351,71.0067733351255,2.5914088946610696,2.47,2182.803708605386,2367.4605030381927,0.9896887766661266,0.9996267493928331,34.79014312269003,9.77225156327028,2.149534363286065,0.9588242566604414,0.9665123980518465,passed,
2025/01/26 21:45:00,0.6505383911116762,0.6466072274804725,55.86709969090805,70.54363252242337,2.5848045863776488,2.52,2181.456337141539,2362.3409819661424,0.9898062115544901,0.9994441706088049,34.6175067538661,9.594893799971329,2.1427583820693163,0.9574302533694542,0.9659829782284413,passed,
2025/01/27 00:15:00,0.6305415431911555,0.6268163754814698,53.82652783893636,67.96850127138586,2.534169109836079,2.49,2162.839431461858,2362.07190949507,0.9894700176313858,0.99793807101761,34.773001394358566,9.05958973826076,2.1536761401773483,0.9445356477852708,0.9598305911869509,passed,
2025/01/27 02:45:00,0.615408020185646,0.6125493283666879,52.24242392968111,65.97617558954136,2.500635666322746,2.49,2138.864500534335,2353.9178697308266,0.9893784836040973,0.9970831231456084,35.1890889390011,8.836563112454815,2.1657044015143576,0.9353757328473523,0.9547103485377108,passed,
2025/01/27 05:15:00,0.625802117205135,0.6233066980132055,53.37651075802122,67.2776000315354,2.535026165341253,2.39,2136.183708981894,2340.3260168720894,0.9893622450033137,0.9980199259570531,35.57768076128603,9.425220329614188,2.1896563486505105,0.9435541476444109,0.9586179542659856,passed,
2025/01/27 07:45:00,0.6534560686807865,0.6493254635434701,55.83207924581833,70.50840499789813,2.596045324008968,2.45,2165.6224767219496,2350.629266485098,0.9893443965258075,0.9995051976489967,34.745747871146925,9.618026025616631,2.151311581940492,0.9595304237761101,0.9673692811328415,passed,
2025/01/27 10:15:00,0.6700486525785578,0.6641999355908479,57.64916185100345,72.76873906615866,2.630551722316168,2.51,2198.742396247514,2356.831989537683,0.9898248789533818,1.0004278241762836,34.15330954250677,10.148847033598427,2.130099125445951,0.9685335639199353,0.9732004990497997,passed,
2025/01/27 12:45:00,0.6592633866484655,0.6558525243082783,58.69077523322581,74.33731613168757,2.6390474247574778,2.52,2157.6549230861797,2419.1914108599017,0.992096526982753,1.0038534969014272,38.17194114072325,10.796893851874898,2.2324348404554146,0.9703937473066742,0.9738288060412943,passed,
2025/01/27 15:15:00,0.7155063690393562,0.6716369939503639,68.33291820703839,85.2562885635888,2.656228390407577,2.67,2454.868984884839,2718.548299672571,0.9929866309912232,1.0037013782811766,33.58706005123216,8.697483798558482,2.1548983735924967,0.9827004974221907,0.9822851820160774,passed,
2025/01/27 17:45:00,0.7771736333901264,0.7018108204811103,76.03707280033495,95.02076099896657,2.7673095115045263,2.66,2531.0737146575193,2856.261672623935,0.9935904324373759,1.007139435116272,33.142257706634304,9.798022784051563,2.132466387453291,1.0090415867486446,1.000127990176051,passed,
2025/01/27 20:15:00,0.7731770618643508,0.7009203837750979,76.02323259470928,95.82344310549571,2.7553684627157646,2.7,2531.67401599065,2903.7174430985065,0.9936712857362918,1.0074323524636695,33.57653493821073,9.22991762492253,2.1328907941458315,1.0081264585363614,0.9994024194922488,passed,
2025/01/27 22:45:00,0.7512546510072013,0.6911920417512685,72.32642435166586,91.61495814472072,2.714835935923018,2.7,2477.0352353309477,2807.8857767905974,0.9930354296983089,1.005799193923586,33.50497266443506,9.485708650493317,2.1543441474775658,0.9990507136670231,0.9935440582354161,passed,
2025/01/28 01:15:00,0.7473733098478822,0.6866272483961713,72.53261354901939,91.86416373774043,2.696225955905096,2.68,2508.485002691888,2844.4703452789604,0.9932024154521778,1.005434829107052,33.148460309559205,9.085297765679611,2.143857371014557,0.9958241909052546,0.9911232574893053,passed,
2025/01/28 03:45:00,0.7496931006634249,0.6930545948154802,71.18953996967348,90.20934006793134,2.7003372482996335,2.66,2488.440087052123,2787.8804548746343,0.9921931894533699,1.0044914814812669,32.05007963024935,8.639992977900178,2.1083583764612714,0.9964063693694216,0.9920911601215242,passed,
2025/01/28 06:15:00,0.7483166837176455,0.6872125461847991,72.57682647095658,91.44687357644132,2.7035888010341456,2.66,2512.8938722623534,2832.2610948543984,0.9933783529332899,1.0055800430863073,33.03561803948345,9.210818703288288,2.125939718973174,0.9962089133721074,0.9915133369066431,passed,
