X,R2,RMSE,MAE,COUNT
1.0026,0.8368062407555571,0.007774495090287153,0.0059827905020972336,71
1.0016,0.9988732553202788,0.0002565392733195664,0.0001602155319506175,90
1.0021,0.8670183525700421,0.00432337454260453,0.002759190604988413,95
1.0022,0.8987192880454143,0.0027863983822423743,0.00129901947523689,72
1.0025,0.8425138710696433,0.0049227118822763845,0.003195980669970847,67
1.002,0.8990561009547033,0.0029340172942979663,0.0013540299057061,90
1.0018,0.9110213777673908,0.002424107873454601,0.001077840984187478,80
1.0019,0.9996671325915603,0.00014345060067683915,0.00012424293301138852,73
1.0023,0.9051176327118247,0.003083170655232256,0.0015184932313267567,111
1.0017,0.9996142071176697,0.0001513757272179203,0.00013009979192685206,88
1.0003,0.9994031966717107,0.00014909616749796318,0.00012881876725286985,148
1.0028,0.7712026523470138,0.007598565343618718,0.005280270350751919,67
1.0034,0.7452759503798345,0.00848718802860698,0.004288248287819947,37
1.0048,0.9995254068469435,0.00016271917543061825,0.00013856731126216798,32
1.0046,0.7031845989961769,0.012093871640510444,0.005132731101849433,32
1.0049,0.9373493910145831,0.003013120696341683,0.0013555177261590006,18
1.0043,0.9696883427158732,0.0019032956357676535,0.0011952618448269215,23
1.004,0.7943998022163958,0.006692280193999383,0.00326612912738374,42
1.0042,0.9996844797501899,0.0001568006066084608,0.00013061853374003266,24
1.0051,0.9795771156807948,0.001594664409238163,0.0007414373543347873,21
1.003,0.9997045830061085,0.00015352970438894218,0.00013639366176306327,41
1.0035,0.5777676796264517,0.01493360113887452,0.008047828730048013,47
1.0015,0.9984104695737861,0.0002946700330310075,0.00016612782217955403,104
1.0013,0.961059218557466,0.0014351206632809512,0.0004938349688822304,105
1.0012,0.9781814041381758,0.0011189955452758915,0.00040719178519453656,86
1.001,0.9995830591378725,0.00014780167386955052,0.0001293162098391809,100
1.0014,0.9975878878474257,0.0003822891446181308,0.00018452978855873159,100
1.0008,0.9994023230379966,0.00014825017246796032,0.00013056422523945383,115
1.0037,0.9996809050764857,0.00016046203249976682,0.00013991588910059645,38
1.0038,0.9890259497475995,0.0010764089752573454,0.000618796100754935,29
1.0039,0.8044592053389388,0.006144865721259337,0.0032141600351368502,37
1.0041,0.9946663800871729,0.0008680551824937132,0.00045496005950091463,27
1.0047,0.9996456188601566,0.00016552599825101727,0.00014412316956149417,20
1.0044,0.9875416960705754,0.001345082050352725,0.0008401049353160651,22
1.005,0.959221858911047,0.0021097935668413516,0.0010580394578956845,28
1.0033,0.9996315768975808,0.0001536908401934413,0.00013302764760479414,53
1.0031,0.9811560236048221,0.0012486538318513712,0.000628063755409577,68
1.0029,0.9757696295696684,0.0015264385735240375,0.000640713957012482,49
1.0027,0.7859566844512915,0.006075558136241418,0.0033976838646018687,65
0.9928,0.9993921631102625,0.00012478117082903201,0.0001041299587473153,35
0.9933,0.9992189976116678,0.0001309969440018605,0.00010945917629213292,32
