datetime,Temp in cp1,Temp in cp2,Pressure in cp1,Pressure in cp2,Comp1 eff,Comp2 eff,Comp1 m,Comp2 m,pr comp1,pr comp2,cop,cop_given,ratio,cp1,cp2,error
2024/12/15 00:00:00,1.0017475433053278,53.31813344701669,2.120551952357617,8.62,0.6789598145709499,0.6430182739536903,76.36077195334491,95.01715027956821,4.064979398602489,3.3201856148491884,2.5030512998358563,2.63,0.47343472360800687,2977821.2946738107,3312003.1440156056,
2024/12/15 02:30:00,1.2660224116269774,53.35084099529047,2.1311073940119774,8.62,0.6801872911966145,0.6436542570861864,76.66186220153962,95.27251961106968,4.044845428353646,3.3549883990719263,2.504273066855673,2.6,0.47084809653891085,2975802.3555148,3344287.663727489,
2024/12/15 05:00:00,0.9173205735627334,53.30900384481487,2.129634802728322,8.66,0.6799936584212869,0.6427535617871181,76.61436562265392,94.91085914452516,4.066424904826633,3.3602771362586603,2.4980685373837437,2.61,0.4721211858539843,2980807.943515731,3332842.095560513,
2024/12/15 07:30:00,0.7556256058037434,52.59082244520539,2.1185031882882233,8.53,0.6816783905932478,0.6452551042288779,77.02761701758244,95.91531537685124,4.0264277378276425,3.332942555685815,2.5169743533904017,2.63,0.47076393368368696,2968233.8508325987,3336908.9998663203,
2024/12/15 10:00:00,0.8746904496969705,52.61909583143597,2.1168623313136745,8.48,0.676886767989095,0.6432490677761764,75.88168301822284,95.10982202061088,4.005928904567693,3.3054245283018866,2.5144621620574776,2.65,0.4703013358293017,2936243.01864743,3307079.7086202516,
2024/12/15 12:30:00,0.9595206351359593,52.95737504135752,2.114107998996863,8.550000000000002,0.6789486657579541,0.6451482795277436,76.35803723823832,95.87242154662046,4.044258857190336,3.348538011695906,2.500684313789554,2.59,0.4694580056130055,2967596.352701582,3353728.0623045596,
2024/12/15 15:00:00,1.0713233067951364,53.68742574786296,2.124444425611877,8.65,0.6718757530697607,0.6401688371258228,74.72905683413352,93.88014132445001,4.071652755759262,3.3560693641618498,2.474702803293953,2.59,0.4705330934547231,2948662.0280095055,3317979.0840108953,
2024/12/15 17:30:00,0.9921629385076471,52.66490570861566,2.1260823089630945,8.460000000000003,0.6709186958202608,0.641249215628584,74.52167661316726,94.30681187780836,3.979149802589724,3.3309692671394795,2.498307066463842,2.65,0.46639422203146763,2895390.0847166777,3312641.5502063762,
2024/12/15 20:00:00,1.0480946188089888,52.75390616647866,2.121834844470413,8.45,0.6711470565394312,0.6402516481888071,74.5711248270849,93.91226688910378,3.982402316570981,3.312426035502959,2.5043158832321946,2.65,0.46817880813121937,2899674.5375655643,3293844.876822057,
2024/12/15 22:30:00,1.1097924327345368,53.02688524401293,2.121968120517339,8.49,0.6719626132591506,0.6390880869415698,74.7490362854547,93.46087717459675,4.0010026154069305,3.3239104829210837,2.5021987062903333,2.65,0.46943285105670013,2913691.170148408,3293141.529330648,
2025/01/24 17:30:00,2.989758982874605,62.99232744324377,2.1188272704514928,7.800000000000001,0.4727034625684138,0.5195829420900188,45.94782579904513,57.934028919369844,3.68128167348815,3.082051282051282,2.2007596882436022,2.5,0.48229438048268874,2417545.5942080524,2595047.734763622,
2025/01/24 20:00:00,3.1092790487417687,63.86266111746204,2.1313639034647243,7.720000000000001,0.45836847419161025,0.5091076307706563,44.43742256233246,55.44882498946577,3.622093809250708,3.0673575129533677,2.1875179387582095,2.51,0.4834192841195183,2380957.198982543,2544285.291745002,
2025/01/24 22:30:00,1.2465735127277071,55.22216695306008,2.135880609855708,7.710000000000001,0.5533244990558877,0.5597825415275957,55.36851578555366,68.15080581883255,3.609752326241147,3.053177691309987,2.406849580375407,2.8,0.4742986826071784,2427227.463484913,2690280.875654163,
2025/01/26 19:15:00,3.4770812072370063,60.57714795058081,2.1732523835598903,8.12,0.5204052404414148,0.5474133183801169,51.31065080556183,64.87370390535334,3.736335485664603,3.0812807881773403,2.2828665601652007,2.47,0.47979177703627895,2478157.9808982303,2686911.7420679615,
2025/01/26 21:45:00,3.413671866871937,60.860311924729444,2.1665907689925605,8.12,0.5175573800075086,0.545426242435902,50.971943302338644,64.36249701824343,3.747823592812456,3.0849753694581286,2.27423868020678,2.52,0.48048429839381573,2481270.358230146,2682832.5407087924,
2025/01/27 00:15:00,3.5859188444515553,62.02395757152124,2.176359599349384,8.130000000000003,0.5022430482588301,0.53664965735008,49.20063102776914,62.127231438192425,3.735595901720671,3.083640836408364,2.2431592823234086,2.49,0.481775888058752,2462720.15839805,2649034.538004947,
2025/01/27 02:45:00,3.6282240728186252,62.78209524718818,2.187774073394361,8.12,0.4895822304811418,0.52949785380953,47.78464001821288,60.346506980000285,3.7115349792045533,3.080049261083744,2.220724163395557,2.49,0.48243513181990905,2440590.08477479,2618307.834968443,
2025/01/27 05:15:00,3.638906991754766,61.927946181910045,2.2120441038641276,8.16,0.4987617366344262,0.5342452755732323,48.810348592275844,61.5222513303282,3.6888957077056634,3.0723039215686274,2.2448605908637247,2.39,0.4811827795626686,2432349.4820460477,2622589.2758553284,
2025/01/27 07:45:00,3.6750391783745613,61.03644932809408,2.175488823224207,8.12,0.5161107334018209,0.5446135702772724,50.799887799188504,64.15342418151543,3.732494468974409,3.0849753694581286,2.274209492392214,2.45,0.47993399365785544,2474145.936898068,2681033.6702832575,
2025/01/27 10:15:00,3.415128045295944,60.26312111924335,2.1547661270581187,8.130000000000003,0.5298382926776882,0.5524217033108832,52.435167575361525,66.1872767039259,3.773031280707857,3.0787207872078715,2.2974030938962073,2.51,0.48077575205060624,2507720.4113621656,2708267.293230316,
2025/01/27 12:45:00,2.1083203820340373,56.20102165439141,2.254457971035376,8.08,0.5456741072052581,0.5625549347254429,54.39600216370847,68.89758727968524,3.584010038692006,3.1002475247524752,2.360962752353935,2.52,0.46872476303093646,2397871.0474402504,2717862.612404787,
2025/01/27 15:15:00,1.5972161560486597,54.86667029169473,2.174862857971144,8.41,0.6179164103815754,0.6025288115949337,64.62903018013554,80.63509346883093,3.8669104900919615,3.1712247324613556,2.442177093268576,2.67,0.4746261351551375,2670565.179979232,2956105.9663669853,
2025/01/27 17:45:00,1.2909777830856228,52.93184345260863,2.154436467640794,8.4,0.6576836834535904,0.6289904958770883,71.73737429772042,89.64758435318237,3.8989314032538553,3.177380952380952,2.5216550730651806,2.66,0.47378907831979983,2801021.7570439903,3110937.5624432066,
2025/01/27 20:15:00,1.2405066976505736,52.52705881406189,2.154399051320926,8.350000000000001,0.6584914543563851,0.6316571271388561,71.90260038230679,90.62959442414794,3.875790789492025,3.201197604790419,2.52162388906837,2.7,0.46996263490254,2791124.608542848,3147910.542882896,
2025/01/27 22:45:00,1.5874951077795458,53.68676451261837,2.1756853650107097,8.42,0.6393777933387393,0.6201032470793157,68.26927226884686,86.47581540973673,3.8700448766214657,3.171021377672209,2.4819284147396448,2.7,0.47185371740301507,2727632.029962289,3053040.9399882485,
2025/01/28 01:15:00,1.48571571584489,53.697401631898856,2.164361538340596,8.430000000000001,0.6417993330690527,0.6216633080118822,68.71195255060016,87.02521184600995,3.894913049722384,3.1803084223013047,2.4802150173699737,2.68,0.47230083002814444,2748306.3494906793,3070667.860922857,
