X,R2,RMSE,MAE,COUNT
0.9926,0.9931130042867017,0.0003841587056000599,0.0002709295273376574,39
0.9921,0.9883357555732003,0.00047259550878246936,0.00036747316549526343,40
0.9923,0.7806325910942568,0.0036364928702980006,0.0024728777275672444,25
0.9924,0.9856285737283187,0.0004984315794808031,0.0003911540456672198,34
0.9925,0.9353145421964058,0.003279848608158128,0.002885033904793672,36
0.9928,0.9963100177254877,0.0002631270312473891,0.00021982982540210138,40
0.9927,0.9942692320420341,0.0003364994147618274,0.00024882373105670363,43
0.9929,0.997463783971673,0.000231400839614656,0.0001953771699473993,21
0.993,0.9952070367139542,0.0002583731205444038,0.00021324717153178984,21
0.9932,0.9990191704758234,9.204394460315663e-05,6.913496512082063e-05,10
0.9931,0.9946752825079876,0.0002879967187216624,0.00023190116478403273,13
0.9893,0.9825377318623342,0.0008382749201248758,0.000610159853257425,33
0.9891,0.9805029975671821,0.0007760225193451348,0.0006660173663462251,36
0.9892,0.9724704596688806,0.0010402878301852003,0.0007463853743272348,39
0.9896,0.9642317380369724,0.0010990349868678258,0.000849972203450042,54
0.9936,0.9972241359703762,0.00013576088282259033,0.0001204999045474701,6
0.9934,0.9920237023671385,0.00018701394934626033,0.00013374723566642044,8
0.9938,,2.220446049250313e-16,2.220446049250313e-16,1
0.9894,0.9813623733841337,0.0008953657394203804,0.0006900826149084224,42
0.989,0.9784262290709484,0.0007085241741206412,0.0005084041358055317,51
0.9889,0.9547661326087145,0.00119521305316192,0.0009737240506323905,76
0.99,0.9892833310313857,0.0005757711480741067,0.00034730765937618954,19
0.992,0.7532810405258171,0.002978579166821211,0.0018013373926731486,42
0.9884,0.9600571257404465,0.0007979634850063264,0.0005960112276401863,40
0.9883,0.9215121213537046,0.0014778958693875052,0.0012840924395054725,17
0.9885,0.9317368441687669,0.0009450917259313762,0.0007319668954895516,53
0.9886,0.9251766190712528,0.0010011140297943957,0.0007967238629645634,59
0.9882,0.9805081815253749,0.00094115512565743,0.0007261795643904065,27
0.9881,0.9467114440824999,0.002037748508376632,0.0013100194122529416,28
0.988,0.9490077158532487,0.0017745010764144272,0.0013249115999921291,20
0.9888,0.9806478441657891,0.0008522227250175715,0.0005998301589533686,42
0.9887,0.9751364489839903,0.0009513909158458543,0.0006773193942625912,38
0.9879,0.9168417084996369,0.0026506370532522624,0.001743413444680116,12
0.9901,0.9760224336672186,0.0008657164845887358,0.0006843858238129745,21
0.9909,0.9600849918877802,0.001600227851813453,0.0009099052811601825,36
0.9917,0.9812776442678571,0.0006358168809688183,0.00044598516949150675,46
0.9915,0.996652482797935,0.00039390262465431385,0.00032462486679508707,49
0.9916,0.9933414433313508,0.0005057208491358395,0.0003482228187392078,45
0.9913,0.994366375838671,0.00043740859996761056,0.00032325998179494873,82
0.9918,0.9928618829585545,0.00046111117488437553,0.00036808529728259235,34
0.9922,0.9938583410435305,0.0003911773997330993,0.00031566815731147495,29
0.9919,0.9768079929820519,0.000977985758543691,0.0007254259940017808,48
0.9902,0.9854847912304481,0.000789753730570409,0.0006593920764413955,19
0.9907,0.9952321095650613,0.0004560927315609793,0.0003409343315157927,39
0.9905,0.9805663573933047,0.0005013615585497173,0.0004042191130355009,14
0.9912,0.9857404808993931,0.0008662457775590555,0.0005178564481580724,58
0.9911,0.9001616689112375,0.0029867707396282086,0.001660003755280896,42
0.991,0.9958708862441606,0.00040617164143085194,0.0003445372699986737,40
0.9914,0.9955588858244728,0.0005291480946999673,0.00041374779125785335,47
0.9906,0.9954374506331916,0.00040236024726066446,0.000320435695834071,36
0.9898,0.9821098884545423,0.0008285447648657785,0.0006370867066497159,28
0.9895,0.9737634234216092,0.0009423265091154551,0.0006148795559187194,57
0.9899,0.9894409921172967,0.0005884870959559148,0.00042638204372365723,21
0.9908,0.9965855537724929,0.00040864553188831786,0.00033123111206281945,35
0.9897,0.9915378989259858,0.0006286854997956873,0.0004414225575243542,31
