datetime,Temp in cp1,Temp in cp2,Pressure in cp1,Pressure in cp2,Efficiency comp1,Efficiency comp2,Mass flow comp1,Mass flow comp2,pr comp1,pr comp2,cop,cop_given,error
2024/12/15 00:00:00,1.010997518675822,52.88611201236483,2.12127780190338,8.62,0.6890007687959254,0.6247529492840695,76.15738561182947,94.76407281476232,4.063588461758967,3.3201856148491884,2.4932630823825312,2.63,
2024/12/15 02:30:00,1.275739850367188,52.920683877468036,2.131872859920123,8.62,0.690233718145806,0.6251783615487563,76.44919261025426,95.00822172911718,4.043393094428236,3.3549883990719263,2.494068135420533,2.6,
2024/12/15 05:00:00,0.9264678024941304,52.87555215827956,2.130354961517136,8.66,0.6900742113894903,0.6245706934995209,76.4114415154571,94.6594741568841,4.06505026459664,3.3602771362586603,2.48838540360481,2.61,
2024/12/15 07:30:00,0.7658344351705182,52.164862290774636,2.119303692741896,8.53,0.6917226652104161,0.626268495599044,76.80158760018674,95.63386200086268,4.0249068735232205,3.332942555685815,2.5060344258694354,2.63,
2024/12/15 10:00:00,0.8844167900671778,52.199407406266175,2.1176245409100183,8.48,0.6867222751356216,0.6248907956722877,75.66895094008996,94.84318441737767,4.004487025993685,3.3054245283018866,2.504034859670543,2.65,
2024/12/15 12:30:00,0.969908572107272,52.534212942079705,2.1149212445382735,8.550000000000002,0.6888830590825309,0.6261842491250477,76.12952678846825,95.58551199576591,4.042703728131789,3.348538011695906,2.4897186561166085,2.59,
2024/12/15 15:00:00,1.0811919659925024,53.30541342889461,2.1252199278281765,8.65,0.6806196195917984,0.6227410872717823,74.51357917659917,93.60944243169577,4.070166991535641,3.3560693641618498,2.4644235973888233,2.59,
2024/12/15 17:30:00,1.0029439706219705,52.29905421648277,2.1269300229184775,8.460000000000003,0.6794292756478044,0.6234414240200218,74.28821994210367,94.01137361930152,3.9775638638038364,3.3309692671394795,2.4868561549077985,2.65,
2024/12/15 20:00:00,1.0582999648219698,52.381794707827225,2.1226360473884007,8.45,0.6797592797027301,0.6227850411875049,74.35069722992641,93.63466808149497,3.980899132659371,3.312426035502959,2.493439792767615,2.65,
2024/12/15 22:30:00,1.1192471201499075,52.64317428135894,2.1227104186544055,8.49,0.6807840209618579,0.6220370626809415,74.54470410237387,93.20539474947479,3.9996034906079396,3.3239104829210837,2.492160850526817,2.65,
2025/01/24 17:30:00,2.9526287935366895,61.0469871589367,2.1159174078184195,7.800000000000001,0.49696305522214396,0.5262911519427067,46.706190809809875,58.89022520724697,3.6863442642792275,3.082051282051282,2.244704022616298,2.5,
2025/01/24 20:00:00,3.0680796615196186,61.61114950646288,2.1281205846583378,7.720000000000001,0.48495513668987206,0.5172729158547882,45.28551771230412,56.507074474552894,3.627613987503165,3.0673575129533677,2.2376402419792556,2.51,
2025/01/24 22:30:00,1.2327897677081978,54.45199969467666,2.1347933185476955,7.710000000000001,0.5661146161332569,0.558844636311131,55.653934825120295,68.5021162570215,3.611590842548228,3.053177691309987,2.424178719999596,2.8,
2025/01/26 19:15:00,3.454871931744094,59.43244582726476,2.171477063765523,8.12,0.5373624502471501,0.5488515314894378,51.766148126444634,65.4496037986642,3.739390176159282,3.0812807881773403,2.3088019722196202,2.47,
2025/01/26 21:45:00,3.390384215998097,59.66480574782912,2.1647336825516543,8.12,0.5350298242508572,0.547271852017301,51.45073702463982,64.96707195746382,3.751038783869545,3.0849753694581286,2.3014128974227654,2.52,
2025/01/27 00:15:00,3.557309603413671,60.54051867350597,2.174070376881064,8.130000000000003,0.522850833471979,0.5404689160221268,49.80392827496254,62.889034425663084,3.7395293576757873,3.083640836408364,2.277433269200053,2.49,
2025/01/27 02:45:00,3.595305498515188,61.11184954965012,2.1851295373464854,8.12,0.5118490235848276,0.5349680064194925,48.46736987896841,61.20871630692695,3.7160268355808923,3.080049261083744,2.259638986289505,2.49,
2025/01/27 05:15:00,3.6083912328656993,60.39126781895425,2.2095715570622665,8.16,0.5200724367192924,0.5385937904635106,49.44029301951217,62.31625507122137,3.6930236424880123,3.0723039215686274,2.2810349023152052,2.39,
2025/01/27 07:45:00,3.6514469202217015,59.82142392193208,2.173601492723109,8.12,0.5338204585561671,0.5466229154237583,51.287210009656555,64.76884657387991,3.7357353807423017,3.0849753694581286,2.301970942222151,2.45,
2025/01/27 10:15:00,3.3961542217261353,59.246435585991094,2.153259335402936,8.130000000000003,0.5452422735796708,0.5529048103098954,52.831635591334276,66.68772591560685,3.7756715442167805,3.0787207872078715,2.319849439735886,2.51,
2025/01/27 12:45:00,2.094154470313356,55.413471934976826,2.2532929684275054,8.08,0.5589933881955077,0.5613625992309751,54.69102248786241,69.27125791216098,3.5858630516380434,3.1002475247524752,2.378269719817005,2.52,
2025/01/27 15:15:00,1.5975640664678963,54.47300924690779,2.1748906933418564,8.41,0.625760432015427,0.5937934531583023,64.62132231698146,80.62547667179504,3.86686099938085,3.1712247324613556,2.441763851859549,2.67,
2025/01/27 17:45:00,1.29899649769078,52.60292368702483,2.155073437104665,8.4,0.6650345071676113,0.6141560664656169,71.56296223672693,89.42962795175028,3.8977790062158513,3.177380952380952,2.512528377186307,2.66,
2025/01/27 20:15:00,1.2493260772214967,52.20358304789136,2.155099620482515,8.350000000000001,0.6658228984468924,0.6163188269732924,71.7122226719805,90.38963294038345,3.8745308665269413,3.201197604790419,2.5116894763368207,2.7,
2025/01/27 22:45:00,1.593004315098483,53.33271604192993,2.176126302713526,8.42,0.6470168005723924,0.6071663009015097,68.15179978563361,86.32701451533059,3.869260708581419,3.171021377672209,2.4757263898884925,2.7,
2025/01/28 01:15:00,1.4918396934442626,53.350998923450106,2.1648497143888,8.430000000000001,0.6492882361049975,0.6083679777272537,68.58183429407464,86.86041418826873,3.8940347424440196,3.1803084223013047,2.4734052851052297,2.68,
2025/01/28 03:45:00,2.0750476136695966,54.552495113187774,2.1310306185576335,8.39,0.6394159896871863,0.6033119545946001,66.77562145365336,84.61614931809032,3.937062155248941,3.1835518474374256,2.4483561779432983,2.66,
2025/01/28 06:15:00,1.3987742437208794,53.324898517244606,2.14712268461613,8.380000000000003,0.6492553935210189,0.6073427687296327,68.57561644450202,86.40534496140313,3.902897612717555,3.17780429594272,2.4767839845349284,2.66,
2025/01/28 08:45:00,1.2242177393031852,52.69535293438457,2.142013342910265,8.32,0.6556872629271332,0.6101459540783297,69.7933158943466,87.64962138926354,3.884196159439399,3.204326923076923,2.4919606960828498,2.68,
2025/01/28 22:30:00,2.434853423028869,55.879870536837586,2.180279503697259,8.23,0.5973019008468563,0.574719616272855,60.13170786101888,73.722912623075,3.7747453874807286,3.114216281895504,2.4276633723564074,2.72,
2025/01/29 01:00:00,1.6501991849490878,53.27361577736838,2.274421807579746,8.24,0.6043951991211274,0.5827799443257418,61.25074574403601,76.63983652112996,3.6228987835674755,3.1055825242718447,2.4631530564224864,2.64,
2025/01/29 03:30:00,1.5839911799515676,53.48889334499438,2.28884992263483,8.270000000000001,0.5974333792149691,0.5796367569608577,60.152449872567445,75.50235945064975,3.6131683070246554,3.094316807738815,2.449698847740013,2.61,
2025/01/29 06:00:00,1.700590530308034,54.023721761645675,2.288566927665565,8.270000000000001,0.5897988615128644,0.574784192136745,58.94802927768038,73.74628175636383,3.6136150968657708,3.0967351874244256,2.4344488296297806,2.61,
2025/01/29 08:30:00,2.89035773572823,57.51066218965917,2.2016427928745257,8.260000000000002,0.5682968421533182,0.5631072083205545,55.94900926674503,69.80416946226522,3.7517439371786176,3.112590799031477,2.364135580940041,2.71,
2025/01/29 11:00:00,2.754734051093635,56.36487923419605,2.2287770868362813,8.32,0.5857084044973146,0.5710704541348105,58.303351570982464,72.40233011347111,3.7329888435860252,3.0733173076923075,2.410288293733079,2.66,
2025/01/29 13:30:00,2.8601920914342713,56.141669745422575,2.2341189912814094,8.28,0.5860061160575223,0.5713497906142461,58.34968621059702,72.50341821399432,3.7061589075212567,3.099033816425121,2.412646325034845,2.67,
2025/01/29 16:00:00,2.7798261938752944,55.65198649362651,2.210497827664493,8.270000000000001,0.5993765728728842,0.5784540182458808,60.459007870434846,75.07434227812438,3.7412386913484053,3.106408706166868,2.4334278518326666,2.71,
2025/02/06 20:00:00,1.2493093988048258,55.02704861008715,2.0984810943613534,8.07,0.6048052173101518,0.5761967743589121,61.31543016424529,74.25747619098009,3.8456386486798464,3.1325898389095417,2.436804215434697,2.67,
2025/02/06 22:30:00,0.9235247962812423,54.87445250648079,2.1474990396695315,8.180000000000001,0.589898909719501,0.5764297214256947,58.96381287073209,74.34177658937733,3.8090820293259746,3.1943765281173593,2.3783778861063394,2.59,
