datetime,Evaporator temp,Souce_temp_in,Souce_temp_out,Condensor temp,Condensor pressure,Sink_temp_in,Sink_temp_out,COP,Compressor Power1 [W],Compressor Power2 [W],Condensor load[W],Temp difference,Intermediate pressure [bar],Vapour fraction Flash tank,Efficiency comp1,Efficiency comp2,Mass flow comp1,Mass flow comp2,pr comp1,pr comp2,error
2025/05/11 09:45:00,6.52,14.89,11.18,97.93,25.38,65.64,90.27,2.8891894286715294,2867839.4320848114,3283465.4638441177,17772902.638333328,60.367982746277846,9.4,0.21012832924101896,0.7587233141878973,0.6545901073524343,93.9232962647416,118.90956435301877,3.4096771748868733,2.7,
2025/05/11 12:15:00,6.19,14.97,11.05,97.14,25.62,65.38,90.19,2.877494628598085,2870714.9917311957,3343032.1313495324,17880608.349999998,60.186438832524516,9.34,0.21109385984523926,0.758728143830386,0.6546510632543228,93.92680768142944,119.05954701151612,3.407863065448457,2.7430406852248392,
2025/05/11 14:45:00,6.68,15.31,11.48,97.45,25.64,65.59,90.1,2.892557813267994,2812152.1997141046,3278645.66509351,17618579.128333323,59.725336928666025,9.39,0.20834125990508168,0.7572768994592047,0.6539411352442498,92.87167291411116,117.31276143427161,3.364530054763251,2.730564430244941,
2025/05/11 17:15:00,6.6,15.68,11.68,97.44,25.74,65.8,90.0,2.8984780733161504,2945939.5422474323,3384175.2868104894,18348293.45555556,59.61726449635938,9.48,0.20530610458715845,0.7631674318155462,0.6559493045186254,97.1544150977177,122.25388373877739,3.399365963316528,2.7151898734177213,
2025/05/11 19:45:00,6.81,15.85,11.87,96.9,25.67,65.82,89.83,2.9052455371241135,2881737.065252758,3313136.227276247,17998216.13333334,59.451977786235204,9.5,0.20569573271166464,0.7607230425755961,0.6550643385829709,95.37720918867993,120.07641544503699,3.371816157648878,2.7021052631578946,
2025/05/11 22:15:00,6.78,15.81,11.78,97.63,25.69,65.57,89.91,2.899243693236988,2964341.134059658,3392818.816140277,18431548.837777775,59.607235466030545,9.5,0.20665189089251354,0.7637263985009781,0.6562417814962379,97.5608147332986,122.9735265179545,3.4065341863028866,2.7042105263157894,
2025/05/12 00:45:00,5.44,15.67,11.58,98.97,26.64,67.35,91.77,2.8572451167948993,2987824.31385288,3455508.611060734,18410752.176666666,59.0131434119163,9.53,0.2007963467048627,0.762463417766089,0.6554086384004123,96.64255802180422,120.92356888428188,3.461068813712999,2.795383001049318,
2025/05/12 04:15:00,7.93,15.43,11.97,103.7,28.04,66.58,94.69,2.791634826347766,2703376.674740818,3146687.251283345,16331819.423333332,58.75450710401782,9.79,0.18852151440680834,0.7302817767192116,0.6403700161396007,85.93110481234925,105.89449546469923,3.3849949808634636,2.8641470888661904,
2025/05/12 06:45:00,7.65,15.21,11.76,103.24,27.96,67.62,94.0,2.7323429922682303,2621049.671447303,3010649.6462215064,15388261.52111111,58.58374071605027,9.8,0.19226971083623182,0.705502287326345,0.628570682419519,79.66785928418147,98.63175908218142,3.410626272462601,2.8530612244897955,
2025/05/12 09:15:00,9.21,15.04,12.15,100.1,25.31,66.82,90.02,2.751742865087138,2211744.959691301,2660409.4366181055,13407470.755555555,59.06973968087931,9.26,0.216749480986449,0.6510762983134898,0.608716624170721,68.10972200230694,86.95777449095885,3.0806180284399596,2.7332613390928726,
2025/05/12 11:45:00,9.31,15.16,12.2,99.7,25.34,65.08,90.03,2.8044379057815956,2305536.2690546084,2828651.7937792623,14399110.733333334,59.15461879396963,9.21,0.21862648945706634,0.6820358740734946,0.6216432969782201,73.7365059161684,94.367808636017,3.1045636445727305,2.7513572204125945,
2025/05/12 14:15:00,9.64,15.47,12.53,99.7,25.37,65.78,90.05,2.8017651623092545,2261229.0581354965,2726628.4500361723,13975390.054999994,58.608905491943915,9.33,0.21262608373222078,0.674438527606685,0.6165126459418995,71.81620620661073,91.20978574833389,3.092190808974735,2.7191854233654875,
2025/05/12 16:45:00,10.0,15.9,12.96,99.97,25.47,66.49,89.6,2.7874303421157096,2182397.9657557025,2656849.585344718,13489625.404444443,58.00132249793029,9.33,0.21087466065675428,0.6568176807386558,0.6100401794446794,68.98797765710708,87.42334609926803,3.021747340213472,2.729903536977492,
2025/05/12 20:00:00,7.94,16.22,12.94,100.03,25.1,64.98,89.81,2.6900708057911964,2382868.872856588,2953104.274686608,14354650.627777776,61.19608362448611,9.17,0.27880324860903233,0.6619342769158189,0.6255019545925119,69.77066015291618,96.74289300159754,3.2282179899225474,2.7371864776444927,
