datetime,eta1,eta2,m1,m2,cop,cop_given,cp1,cp2,Speed line X,Speed line x,igva1,igva2,status,error
2024/12/15 00:00:00,0.7518464263616713,0.6563386300387831,78.46606002026174,97.63679997035761,2.606183488295772,2.63,2778818.6,3262091.4,0.9937096341044407,1.003857947700819,28.840104124789427,6.35606093671553,passed,
2024/12/15 02:30:00,0.740893743098623,0.6555029518971863,78.44794738398716,97.49220004518723,2.590542360172364,2.6,2810420.6,3299189.4,0.9932067643571544,1.003111556195874,29.083876497770632,5.117663507182316,passed,
2024/12/15 05:00:00,0.7424293157605121,0.6523741814209487,78.3954635297999,97.1173060845199,2.5836095013166753,2.61,2808116.0000000005,3296484.0,0.9938333754288371,1.003292059703871,28.924840263032923,5.114299406516557,passed,
2024/12/15 07:30:00,0.7712607786710735,0.6766332811974309,79.9369327190258,99.53801518036549,2.6636759036027304,2.63,2740620.2,3217249.8,0.9942236333178822,1.0058059477916623,29.400354994971156,6.689382778879527,passed,
2024/12/15 10:00:00,0.7720181284371449,0.6801261113312588,79.01100809743578,99.03210654950173,2.67537181546259,2.65,2699188.0,3168612.0,0.9940265847444394,1.0060752176646464,29.70927956700565,7.514326540951925,passed,
2024/12/15 12:30:00,0.7613691871286634,0.6754967719512931,79.08233243596106,99.29294919583974,2.6362419916940025,2.59,2758279.6,3237980.4,0.9938379757192217,1.004877154539726,29.074461976329562,5.901575293182174,passed,
2024/12/15 15:00:00,0.7251010593776341,0.6482984328775353,76.24300041597371,95.7820686796402,2.546795849760447,2.59,2801050.4,3288189.5999999996,0.9935291326021597,1.0022227271690187,28.927652335935402,4.82380679491653,passed,
2024/12/15 17:30:00,0.7350804170551082,0.6679565773802437,76.7036879276775,97.06813636626475,2.6078365765555196,2.65,2735748.8,3211531.1999999997,0.9937316894901587,1.004359042368734,30.36434323858254,6.210692345222099,passed,
2024/12/15 20:00:00,0.7462200316043001,0.6696448830491946,77.06083200240573,97.04771704178165,2.6311618552182763,2.65,2711663.2,3183256.8000000003,0.9936577490826795,1.0048457836034863,30.215001761999538,6.904245398128689,passed,
2024/12/15 22:30:00,0.7426210989269086,0.6619267241516965,76.99652231010091,96.27097380913968,2.6153168189408507,2.65,2731645.5999999996,3206714.4,0.9935257390332903,1.0042146427253509,29.910842573317957,6.410091515481148,passed,
2025/01/24 17:30:00,0.6003386850347032,0.568500402732508,49.79269356963043,62.78189009100488,2.4415066814022097,2.5,2078413.4,2439876.6,0.9902196280838343,0.9976538270876518,35.951387915341826,12.137935005665454,passed,
2025/01/24 20:00:00,0.6032100445355559,0.5696581333930102,48.825658106896235,60.924446452023815,2.4723850886817456,2.51,2004551.2000000002,2353168.8000000003,0.9900521456195931,0.9984525368730933,36.903994545473275,12.84478298617995,passed,
2025/01/24 22:30:00,0.7164866789293812,0.6434719255039418,60.348077161029146,74.27994104213093,2.7467910670569453,2.8,2062699.8000000003,2421430.1999999997,0.9934879410655929,1.0085566924028253,37.1639570818789,16.39295425504445,passed,
2025/01/26 19:15:00,0.637856113877537,0.5892301867434047,54.78589087806114,69.26756155330406,2.4949257281561725,2.47,2173973.8,2552056.2,0.9893211787792555,0.9985867237091793,34.5702134278573,12.161633289587735,passed,
2025/01/26 21:45:00,0.6358080429053959,0.5863732083764611,54.456284440228295,68.76218989963441,2.486109551191346,2.52,2173030.8,2550949.1999999997,0.9894350578353827,0.9983531383917328,34.42358252317856,12.028519632561206,passed,
2025/01/27 00:15:00,0.602503855962721,0.5634298599776635,52.057620651260564,65.73484483353657,2.4135926831207972,2.49,2185354.2,2565415.8000000003,0.989065308642163,0.9957571505672899,34.77370666150173,11.545801286230908,passed,
2025/01/27 02:45:00,0.5775014470524599,0.5472721911504732,50.2112494362042,63.41103570983348,2.3640257569964565,2.49,2186021.2,2566198.8000000003,0.9889484220888118,0.993985114428867,35.330895961882185,11.26212715168398,passed,
2025/01/27 05:15:00,0.5958361492707457,0.5604649260190667,51.58168592748996,65.01534074631208,2.4116426114887837,2.39,2164451.8000000003,2540878.1999999997,0.9889580316396862,0.9956729469476678,35.619151078175584,11.898023192440647,passed,
2025/01/27 07:45:00,0.640014575285468,0.5911203435656396,54.49876974818834,68.82461447251696,2.50142540073161,2.45,2155964.8000000003,2530915.1999999997,0.988981021615196,0.9985156957436426,34.53736617581645,12.070906222766064,passed,
2025/01/27 10:15:00,0.6695237726553123,0.6064951327281437,56.58322094111511,71.42323509973333,2.5539999135154785,2.51,2158278.6,2533631.4,0.9894864194996498,1.0003366265051026,33.78589460004983,12.645972459637468,passed,
2025/01/27 12:45:00,0.6449030702709478,0.6158484695637222,57.6598396615062,73.03154051019042,2.5655868959211956,2.52,2165537.4,2542152.6,0.9917611050234494,1.0028432853444595,37.74126455475987,13.011702359701065,passed,
2025/01/27 15:15:00,0.7172255321862023,0.6348823646708083,67.59528857768497,84.33597715024224,2.6096016620602724,2.67,2422203.5999999996,2843456.4,0.9926834214850718,1.0037372147221788,32.571316115568266,10.965661304713903,passed,
2025/01/27 17:45:00,0.8001650858456005,0.68991592178438,76.23856363642729,95.27255675956991,2.779088609909497,2.66,2467573.4000000004,2896716.5999999996,0.9933717962351176,1.008193772195133,31.41038777090092,11.939535032483546,passed,
