X,R2,RMSE,MAE,COUNT
1.0023,0.8927495500529276,0.015497836103139314,0.011156209995378938,111
1.0033,0.887348279170194,0.015540313729813418,0.010986323903158611,53
1.004,0.9091356325726326,0.015240738639574663,0.011602876655742611,42
1.0046,0.8548043051432512,0.01387980740634213,0.009655449180333234,32
1.0038,0.9151242372425218,0.01420110680115414,0.01070112981943762,29
0.9923,0.8584238225656808,0.012599784946441466,0.008913755423601658,27
0.9921,0.8793666956711906,0.010929599018144937,0.007281616210893254,25
1.0043,0.9173612073467398,0.014703479244949079,0.010010797724520192,23
0.9902,0.9113333169632094,0.013693917900622169,0.008086032199434838,21
1.0047,0.8929118814872938,0.014410929609374066,0.011636736936624748,20
