datetime,eta1,eta2,m1,m2,cop,cop_given,cp1,cp2,Speed line X,Speed line x,igva1,igva2,Evaporator pressure,k1,k2,status
2024/12/15 00:00:00,0.7243715069873521,0.7484353245533434,79.84707574135611,99.35522390653577,2.681333308066838,2.63,2937.2674688078864,2934.5273946612474,0.994058129342908,1.002347717098175,30.512931614924497,3.87261291385481,2.101287521754346,1.0375944869466749,0.9141640122216689,passed
2024/12/15 00:15:00,0.7220622680554016,0.7488885957099392,79.57661847988481,99.01281682296604,2.6819872852443747,2.61,2921.1007749389937,2936.2227769268693,0.9936421580020679,1.0022486310882468,30.926522338541673,3.2955108154251103,2.117649048203576,1.0262339020356825,0.9010792660801101,passed
2024/12/15 00:30:00,0.7224845263458635,0.7487947328401385,79.38036565006271,98.75464570020884,2.680055126807361,2.6,2914.650510253115,2930.49775843414,0.9938538051963893,1.0023457343362834,30.86978335237618,3.200067931103293,2.1139877673162575,1.0253574107170107,0.900569449692022,passed
2024/12/15 00:45:00,0.7214635077341026,0.7486879948120085,78.80867541636012,98.0758328601326,2.679893100437374,2.61,2890.798888364242,2914.440900746436,0.993895951394558,1.0024627109807178,31.08187915684125,3.067368841468072,2.1176503125389843,1.0236941689346624,0.8977756656115239,passed
2024/12/15 01:00:00,0.7228199638726214,0.748545913496592,79.48798860915876,98.91123636966442,2.6794420452502288,2.59,2919.519306155296,2934.2883708006925,0.9940746662961504,1.002480823731834,30.831853608674763,3.3098951963692596,2.1083776528997937,1.0299026991892495,0.9053909804703465,passed
2024/12/15 01:15:00,0.7241990190229814,0.7488397492574075,79.59086705703162,99.02523745255712,2.6779188796333444,2.61,2927.9445494050237,2941.6147082164084,0.9939918256887457,1.0023410323934987,30.539140452599803,3.1193799264993856,2.10023927279293,1.0322276971187252,0.9084300079152855,passed
2024/12/15 01:30:00,0.7231597519480696,0.7486019972352823,79.7962473767712,99.26854919635079,2.6786266447993015,2.6,2931.82949392177,2946.9966092135837,0.9941093247690023,1.0024766538415542,30.76753408344583,3.207399897935286,2.106105711606433,1.0310106009566362,0.9068676116303889,passed
2024/12/15 01:45:00,0.723838419802521,0.7487716525873581,79.92630321788108,99.41810719787202,2.6788169114846383,2.58,2939.1143789992793,2951.7086378131166,0.9939945186272153,1.0023632089029562,30.61334196068815,3.1955300176930317,2.102460950579149,1.0316626061596927,0.9079555592835796,passed
2024/12/15 02:00:00,0.7238891720534503,0.7489094561196904,80.06559407181372,99.57691888385871,2.6781241927665684,2.61,2944.5512520544175,2960.213150848073,0.9939414223719948,1.0023267167641223,30.595644071704676,3.012744648118592,2.102403937911894,1.0377797940282179,0.9133124236256276,passed
2024/12/15 02:15:00,0.7235773571384461,0.7490586012935454,80.13960347035382,99.65670422117826,2.679037018847242,2.61,2947.937820614251,2962.753357156714,0.9937742988308739,1.0022257091125022,30.57342925072175,3.0057769964713925,2.104131267091384,1.038362739777294,0.9133771393966004,passed
2024/12/15 02:30:00,0.7230557479293127,0.7492906252765685,80.10464454117378,99.55108183940627,2.679590865459228,2.6,2943.85235479569,2962.9129391659167,0.9935783954925561,1.0021333503858536,30.715945412981682,2.778635622715813,2.111791618790015,1.0338062716700236,0.9083050943992326,passed
