previous_datetime,datetime,dt_diff,cop,cop_given,Q
2025-05-04 10:00:00,2025-05-04 19:30:00,0 days 09:30:00,2.966659109357743,2.93,17.17096986611111
2025-05-05 15:00:00,2025-05-05 16:15:00,0 days 01:15:00,2.711340307149725,2.82,14.506268516666664
2025-05-05 23:45:00,2025-05-06 09:15:00,0 days 09:30:00,2.8478595212101827,2.94,18.68331139888889
2025-05-06 22:30:00,2025-05-07 09:00:00,0 days 10:30:00,2.8297848838536104,2.85,18.03842308888888
2025-05-07 20:30:00,2025-05-08 11:00:00,0 days 14:30:00,2.7878348187017616,2.81,16.496145673333334
2025-05-10 20:00:00,2025-05-11 05:00:00,0 days 09:00:00,2.871055051979366,2.91,17.984555777222216
2025-05-12 01:00:00,2025-05-12 02:15:00,0 days 01:15:00,2.190377916889678,2.16,9.64071600555555
2025-05-12 19:00:00,2025-05-12 20:00:00,0 days 01:00:00,2.7982037380336533,2.94,14.354650627777776
2025-05-13 21:00:00,2025-05-13 23:15:00,0 days 02:15:00,2.889394566927567,2.94,13.316421763333334
2025-05-18 04:15:00,2025-05-18 08:15:00,0 days 04:00:00,3.092352276250197,3.11,14.665462655555562
2025-05-18 14:30:00,2025-05-18 15:00:00,0 days 00:30:00,3.14321410255564,3.07,15.146859902777772
2025-05-19 18:00:00,2025-05-19 23:15:00,0 days 05:15:00,3.117486517968225,3.11,14.03581927
2025-05-20 09:30:00,2025-05-20 14:45:00,0 days 05:15:00,3.147000517048048,3.21,16.755756416666664
2025-05-20 14:45:00,2025-05-20 20:00:00,0 days 05:15:00,3.18773777981807,3.16,16.121089600000005
2025-05-22 10:00:00,2025-05-22 13:30:00,0 days 03:30:00,3.101941499314707,3.1,16.212884606111114
2025-05-24 15:15:00,2025-05-24 16:30:00,0 days 01:15:00,2.978065852176935,2.97,18.16725440444445
2025-05-25 00:00:00,2025-05-25 00:30:00,0 days 00:30:00,3.026839364603255,2.91,19.090938612777776
2025-05-28 05:45:00,2025-05-28 07:30:00,0 days 01:45:00,3.070105091595085,3.06,16.305686411666663
2025-05-29 12:30:00,2025-05-29 13:45:00,0 days 01:15:00,3.1213420364554847,3.11,15.366186012222228
2025-05-29 14:30:00,2025-05-30 06:00:00,0 days 15:30:00,3.1291387054154014,3.08,15.021004166666662
2025-05-30 16:45:00,2025-05-31 01:45:00,0 days 09:00:00,2.8050204143940456,2.99,11.817280786666664
2025-05-31 09:15:00,2025-06-01 13:00:00,1 days 03:45:00,3.049123242452757,2.99,16.471327619999997
2025-06-01 15:45:00,2025-06-02 15:30:00,0 days 23:45:00,3.1556767850552965,3.13,14.591440196666664
2025-06-02 18:15:00,2025-06-03 13:00:00,0 days 18:45:00,3.2054280762500005,3.11,15.347571311111102
2025-06-05 03:15:00,2025-06-05 04:00:00,0 days 00:45:00,3.025396111035016,3.04,12.838711159999994
2025-06-06 15:45:00,2025-06-06 18:30:00,0 days 02:45:00,2.9627152690309257,3.09,12.64551783
2025-06-07 01:15:00,2025-06-07 08:30:00,0 days 07:15:00,2.992630384478682,3.05,12.75429826611111
2025-06-07 11:30:00,2025-06-08 06:45:00,0 days 19:15:00,2.9133009023175496,2.97,12.21187046444444
2025-06-08 14:30:00,2025-06-08 15:15:00,0 days 00:45:00,2.742206717035913,2.99,11.228356755000002
2025-06-10 14:00:00,2025-06-10 23:45:00,0 days 09:45:00,3.112312527228582,3.04,13.863446520000002
2025-06-10 23:45:00,2025-06-11 04:15:00,0 days 04:30:00,2.9774319956702664,3.06,12.787390513333335
2025-06-11 11:45:00,2025-06-11 13:30:00,0 days 01:45:00,3.1685562126984936,3.1,14.720935900000004
2025-06-11 13:30:00,2025-06-12 06:15:00,0 days 16:45:00,3.1008799431686667,3.05,13.863404255555553
2025-06-12 11:45:00,2025-06-12 23:00:00,0 days 11:15:00,2.707414806023775,2.8,11.770820551111107
2025-06-13 16:15:00,2025-06-14 06:00:00,0 days 13:45:00,2.992398230272764,3.02,12.702650766666672
2025-06-14 14:15:00,2025-06-14 14:45:00,0 days 00:30:00,2.8866108950778515,2.99,11.745052244444445
2025-06-14 23:45:00,2025-06-15 08:15:00,0 days 08:30:00,2.987350274182558,2.97,12.126031377777768
2025-06-15 12:15:00,2025-06-15 13:30:00,0 days 01:15:00,2.9949087392818337,3.07,12.48740306
2025-06-15 16:15:00,2025-06-16 07:15:00,0 days 15:00:00,3.175808206479922,3.17,14.042372465
2025-06-16 23:45:00,2025-06-18 07:45:00,1 days 08:00:00,2.951990463246104,3.03,11.653780551111112
2025-06-18 17:15:00,2025-06-19 04:00:00,0 days 10:45:00,3.0466005897247777,2.97,12.4048188
2025-06-19 12:00:00,2025-06-19 13:30:00,0 days 01:30:00,3.037479681165245,3.08,12.545761433333338
2025-06-20 04:45:00,2025-06-21 12:30:00,1 days 07:45:00,2.9011585503028523,3.0,11.53032564444445
2025-06-21 15:00:00,2025-06-22 05:15:00,0 days 14:15:00,3.15454146257634,2.95,13.829594325555554
2025-06-22 06:00:00,2025-06-22 07:45:00,0 days 01:45:00,2.7984300430621225,2.04,7.445333793333336
2025-06-22 13:15:00,2025-06-23 11:30:00,0 days 22:15:00,2.9554822149874678,3.01,11.506755088888896
2025-06-23 18:15:00,2025-06-23 23:30:00,0 days 05:15:00,2.799963571052951,2.62,8.95805280333333
2025-06-24 14:30:00,2025-06-25 23:30:00,1 days 09:00:00,3.065883817676732,3.23,12.382278498333331
2025-06-26 07:15:00,2025-06-26 22:30:00,0 days 15:15:00,3.299312473963184,3.12,14.062277624999998
2025-06-27 01:00:00,2025-06-28 09:00:00,1 days 08:00:00,2.720048953751238,2.81,11.328345838333329
2025-06-29 17:00:00,2025-06-30 04:15:00,0 days 11:15:00,3.197145250323476,3.04,12.731576250555548
2025-06-30 06:30:00,2025-06-30 07:30:00,0 days 01:00:00,3.050503794241532,3.04,11.703663510000004
2025-06-30 16:45:00,2025-06-30 21:30:00,0 days 04:45:00,3.083706528554506,3.07,11.591086356666668
2025-07-01 15:30:00,2025-07-01 21:00:00,0 days 05:30:00,3.233019366833278,3.15,12.299420099999995
2025-07-01 23:45:00,2025-07-02 12:00:00,0 days 12:15:00,3.2091436109877325,3.09,12.931663909999996
