datetime,Comp1 eff,Comp2 eff,Comp1 m,Comp2 m,pr1,pr2,Speed line X,Speed line x,igva1,igva2,cop,cop_given,error
2024/12/15 00:00:00,0.7243613036032851,0.6695108879359213,78.20722841607511,97.31473091836949,4.009019067759311,3.3201856148491884,0.9926384841101478,1.0025600472276597,29.93367677690207,2.218104548141716,2.606183488206279,2.63,
2024/12/15 00:15:00,0.7072018156516027,0.6576490340806391,77.28696624304418,96.16392826945342,3.9711609164170993,3.338747099767982,0.992137121812276,1.0015946116636636,30.491933323730063,1.293411877086843,2.5731021423498315,2.61,
2024/12/15 00:30:00,0.7065814581529231,0.6570697867565759,77.05724904438813,95.86452853540514,3.97735923016879,3.3433874709976803,0.9923400297857011,1.0016296098231539,30.4499964690374,1.1886248490687745,2.5694266255750904,2.6,
2024/12/15 00:45:00,0.7030081720615118,0.654344579961399,76.37467884525223,95.04677242193915,3.964070941261823,3.3495934959349594,0.9923592035548063,1.0015952552620124,30.711883759022133,1.0226453356934493,2.5628442280597086,2.61,
2024/12/15 01:00:00,0.7125285452819308,0.6613532460729554,77.40752570198678,96.32240298778802,3.984962585391015,3.341463414634146,0.9925810272767631,1.0020992852766475,30.36697345512317,1.4379722116749092,2.5815193124093656,2.59,
2024/12/15 01:15:00,0.717269697943698,0.6644411153323428,77.6546095867122,96.6161877354548,4.003374809709595,3.346109175377468,0.9925359423758889,1.002152871303774,30.022323700977857,1.3194876964405513,2.5874190845439133,2.61,
2024/12/15 01:30:00,0.7145929046520603,0.6627744524969655,77.78057405261397,96.76100061955971,3.9914872807827457,3.3449477351916377,0.9926432087935317,1.0021931405592872,30.255192154021405,1.3654092504841246,2.584263922481872,2.6,
2024/12/15 01:45:00,0.7161574839602092,0.6639460143139028,77.95471606787001,96.96570473787853,3.998331185361527,3.343786295005807,0.9925283767478865,1.0021322437122733,30.09602121285284,1.3624286837024446,2.5869365950195293,2.58,
2024/12/15 02:00:00,0.7235318548995175,0.6690672030159205,78.38582093116537,97.48779888532887,4.001187624427214,3.3495934959349594,0.9925091614411539,1.002521542133526,30.022930465919142,1.3568509915615043,2.6014759289119644,2.61,
2024/12/15 02:15:00,0.7240014532516614,0.669277097017974,78.47868091223324,97.59128262010766,3.999407182151983,3.3484320557491287,0.992360877678034,1.0024633600613468,30.008323905623485,1.3588581218531228,2.6031668480745274,2.61,
2024/12/15 02:30:00,0.7172952546917172,0.6647349430847478,78.18267894681345,97.1625342680062,3.9849650970550132,3.3549883990719263,0.9921086909830402,1.002017407631867,30.205706397281183,0.9882312894104583,2.5905423601377495,2.6,
2024/12/15 02:45:00,0.7173039119644973,0.6645736922436152,78.32560037604235,97.32783064990895,3.986620503819792,3.3549883990719263,0.9927614419401573,1.002453037323205,30.35488364903726,1.1831418383400276,2.58941476844901,2.58,
2024/12/15 03:00:00,0.7236671019117371,0.6685681308725354,78.50731798996455,97.49780991838637,4.000923493494879,3.345307068366164,0.9926633052131748,1.0025780822252524,30.073586843561433,1.5127227716219387,2.6019256628844674,2.59,
2024/12/15 03:15:00,0.7214956220182968,0.666974563485942,78.22296460301463,97.12883974790365,4.012157056503435,3.356894553881807,0.9924212057229934,1.0021622934925256,29.82031786946863,1.0066944988153714,2.593226289288489,2.61,
2024/12/15 03:30:00,0.7186455350073048,0.6648907044477654,78.13673983212597,96.9634725495785,4.008037250546803,3.3564814814814814,0.9924405872304803,1.0020216736607384,29.90512846047222,0.9640221514714152,2.5877483480094945,2.6,
2024/12/15 03:45:00,0.7162777285051736,0.6633081615012759,78.06404600033251,96.86031378171225,3.99156417800992,3.3587962962962963,0.9924915784811971,1.0020902179339861,30.210579768829398,0.9339808370869425,2.585386864858675,2.59,
