datetime,Temp in cp1,Temp in cp2,Pressure in cp1,Pressure in cp2,Efficiency comp1,Efficiency comp2,Mass flow comp1,Mass flow comp2,pr comp1,pr comp2,cop,cop_given,ratio,cp1,cp2,error
2024/12/15 00:00:00,1.003508326778956,53.461153554984776,2.1206901070116486,8.62,0.6756749779378373,0.6449684031834745,76.32203515091408,94.96894934492919,4.064714581116613,3.3201856148491884,2.501181183043269,2.63,0.4751180119415936,2990643.41127238,3303884.129476845,
2024/12/15 00:15:00,1.2335288463883103,53.48538045546917,2.1372186692759354,8.62,0.6743286401822433,0.6441595829131463,76.0523424598097,94.62775368915791,4.03327938498701,3.338747099767982,2.5011791678489432,2.61,0.4728980014645419,2970060.505236279,3310491.5293211676,
2024/12/15 00:30:00,1.118940684918698,53.49511263021748,2.1337013037122685,8.62,0.6730731842877178,0.6433861537711085,75.80085483915106,94.30148755440298,4.03992816848483,3.3433874709976803,2.4964642205686727,2.6,0.4730201361861535,2968111.9408217734,3306699.0318208276,
2024/12/15 00:45:00,1.099055867788934,53.517817741227475,2.137654983551735,8.610000000000001,0.6698182638045803,0.6415365497552133,75.14884291956946,93.52124393505564,4.027778133632397,3.3495934959349594,2.4911403727816146,2.61,0.47230321103810063,2949491.258072444,3295419.191699004,
2024/12/15 01:00:00,0.9964524172821143,53.39430745924079,2.127992562202637,8.610000000000001,0.6737046273325332,0.643810584127244,75.92734284212615,94.4805307844054,4.046066773413899,3.341463414634146,2.497108479352068,2.59,0.47327409897485445,2972657.7778007598,3308391.1624217224,
2024/12/15 01:15:00,1.0433665881110414,53.52980589212774,2.1198944608318313,8.610000000000001,0.6740510981752365,0.6439835852330018,75.99674641754605,94.55351019391115,4.0615229479969015,3.346109175377468,2.494453884697225,2.61,0.47360182486050056,2984196.8609971367,3316870.204941919,
2024/12/15 01:30:00,0.9748245418638248,53.334989226077596,2.12550543913292,8.610000000000001,0.6754772590598088,0.644798484470647,76.28242894060162,94.8972702231556,4.050801207788191,3.3449477351916377,2.4993540566789516,2.6,0.47320463117018524,2981334.266559713,3318972.3453751435,
2024/12/15 01:45:00,1.038715786014052,53.40956310152404,2.1218836044877434,8.610000000000001,0.6761322158619915,0.6451576621451108,76.41362712011156,95.04878702692096,4.057715504182235,3.343786295005807,2.49986324129268,2.58,0.47350010993830144,2988887.339049138,3323439.2609142703,
2024/12/15 02:00:00,1.0672311157250078,53.40120994767216,2.1217670631516006,8.610000000000001,0.6769273597938797,0.6455945675476503,76.57290699317001,95.23309277542012,4.057938380479429,3.3495934959349594,2.5005483491626435,2.61,0.4731557969884357,2992188.1212379043,3331708.0251957327,
2024/12/15 02:15:00,1.1581635773492849,53.43401617697248,2.1234106434417144,8.610000000000001,0.6774064340993031,0.6458496945644319,76.66887313400792,95.34071647501175,4.054797420646129,3.3484320557491287,2.502517024465064,2.61,0.47306699761348125,2993292.756660583,3334125.498599422,
2024/12/15 02:30:00,1.2673846532597395,53.479258768876605,2.131214688254038,8.62,0.6772225139180329,0.6456001472217758,76.63203102033494,95.2354465252521,4.044641793953565,3.3549883990719263,2.5028366389057135,2.6,0.47243745240465274,2987560.9520773087,3336156.4773325827,
2024/12/15 02:45:00,0.9206572167004765,53.15385713054957,2.1314724622249335,8.62,0.6780685299899091,0.6461009894796376,76.81175961794239,95.44672362707203,4.044152646946247,3.3549883990719263,2.5040463072094465,2.58,0.4724843922025752,2985046.0089623323,3332720.3727946966,
2024/12/15 03:00:00,1.0001596091443616,53.33184353959615,2.128284231938267,8.630000000000003,0.6776913596773765,0.6457188879028265,76.72594822203446,95.2855365217814,4.054909523123471,3.345307068366164,2.503011283622109,2.59,0.4735571690567608,2990874.0905646575,3324887.3126930124,
2024/12/15 03:15:00,1.1248548437611703,53.581191191973915,2.1215805445428,8.630000000000003,0.6764700968688198,0.6449619828044317,76.4813100158969,94.96624094911255,4.067722067964082,3.356894553881807,2.4965885041720446,2.61,0.47347395411556803,2996668.440784153,3332440.932046755,
2024/12/15 03:30:00,1.107146196765541,53.5555007851064,2.1256879308685495,8.64,0.6766514118800901,0.6449335459975236,76.51763027292101,94.95424506406998,4.064566521986943,3.3564814814814814,2.497368152667301,2.6,0.4735066035732134,2994565.9759952757,3329666.787386359,
2024/12/15 03:45:00,1.0699069782770607,53.409295961199234,2.1337774829662863,8.64,0.6767981785752357,0.6449899304483656,76.5470299572247,94.9780304838841,4.049156985192777,3.3587962962962963,2.499952360993305,2.59,0.4728070653995782,2984867.57437301,3328209.7732559685,
2024/12/15 04:00:00,1.1313184246937453,53.592068905374674,2.129162357370189,8.65,0.6764267536562986,0.6446368511414109,76.47262768668395,94.82908623743145,4.062630531700716,3.3572254335260117,2.4970553849969543,2.6,0.47355423945384434,2992495.652405319,3326729.059544466,
2024/12/15 04:15:00,1.042574321356824,53.38057639638686,2.1371433240979023,8.65,0.677122844026952,0.6450207348158518,76.61206556884373,94.9910251091957,4.047459008698541,3.353757225433526,2.5016155630412373,2.59,0.4731595287757088,2983993.926448561,3322534.3055191804,
2024/12/15 04:30:00,1.0305630284177028,53.49369341568081,2.129890058786529,8.65,0.6765951903901397,0.6446784048446795,76.50636822158482,94.8466154012717,4.06124248728979,3.3583815028901736,2.4973563355594144,2.6,0.47349010537447334,2990611.5298907114,3325489.8964009746,
2024/12/15 04:45:00,0.9897820652356017,53.63419776017514,2.121967306663391,8.66,0.6762973605620003,0.6443666852091453,76.446708208703,94.71511846757286,4.08111848509914,3.3602771362586603,2.492710052934166,2.58,0.47431071323050716,3000817.015558208,3325873.341317329,
2024/12/15 05:00:00,0.9186935734966823,53.44006398494599,2.129742886639096,8.66,0.6769821854537268,0.6447411993359013,76.58388943772128,94.87310485560181,4.066218534795142,3.3602771362586603,2.4966095169073648,2.61,0.47373896303580254,2992770.0683848155,3324569.863307986,
2024/12/15 05:15:00,0.9465983906374618,53.66346125554571,2.120147979244226,8.67,0.6766063060376327,0.6443910805647303,76.50859486112834,94.72540949222935,4.089337199515015,3.351787773933103,2.4931629680042233,2.58,0.47523381946850646,3005799.060158776,3319085.5272226757,
2024/12/15 05:30:00,0.8874662039186774,53.63733134437649,2.1186474977633165,8.67,0.6765812894078345,0.6443464259383317,76.50358363553886,94.70657222381148,4.092233374902163,3.354094579008074,2.492156222748851,2.57,0.47525214492258616,3006564.1532990993,3319686.417939961,
2024/12/15 05:45:00,0.9497690693210643,53.7276947115065,2.1203967255558176,8.680000000000001,0.6763574167825812,0.6440796367539917,76.45873841708047,94.59402891345673,4.093573572994799,3.3548387096774195,2.491291585544675,2.59,0.47539646932069946,3007134.6614300036,3318395.4076656704,
2024/12/15 06:00:00,0.8618213642077421,53.53760850810539,2.129201941991656,8.680000000000001,0.6762837113958254,0.6440298983049544,76.4439740654006,94.57304706698064,4.076644788272514,3.3640552995391704,2.4923305289447115,2.58,0.47427952871152523,2994992.363719961,3319832.928985491,
2024/12/15 06:15:00,0.919182576504852,53.575563854132156,2.134508846152388,8.690000000000001,0.6760475721821132,0.6437619073360531,76.3966716557679,94.45999679150088,4.071194183928718,3.3567318757192175,2.49399383023935,2.59,0.4746058660285401,2991229.713830085,3311325.580861973,
2024/12/15 06:30:00,0.9345038462870434,53.654490275367834,2.138085125321841,8.690000000000001,0.6734695953867575,0.642218669160461,75.88026223572662,93.80899164158981,4.06438447987047,3.3590333716915994,2.4896457799531295,2.58,0.4743839397363193,2978403.6719423537,3300062.8241997045,
2024/12/15 06:45:00,1.0965945000606325,54.185514207439894,2.1335163472847016,8.7,0.6672202463704274,0.6384152702260183,74.62841904343591,92.2045521372847,4.077775176680683,3.3643678160919546,2.4738944339821565,2.58,0.4750666411806455,2967015.9438082976,3278457.1890444066,
2024/12/15 07:00:00,0.9613760344337265,53.58680534366198,2.1119058423369785,8.65,0.6790155883376146,0.646109143417282,77.08347787829835,95.45016331349467,4.095826540461738,3.3699421965317917,2.4949820200123902,2.59,0.4743276050966032,3022870.5756305787,3350088.837125781,
2024/12/15 07:15:00,0.8742056937605298,53.235631054976466,2.1136919989695144,8.600000000000001,0.6789293177809108,0.6465631187472586,77.05872619785103,95.64166990166837,4.068710107334819,3.3465116279069766,2.5045805255153715,2.62,0.47401394481985376,3006444.2233403143,3336078.515063291,
2024/12/15 07:30:00,0.7570590570147715,52.71810095893966,2.118615575336022,8.53,0.6787101991500153,0.6471180653245295,76.99585939208315,95.87577056444084,4.0262141463050005,3.332942555685815,2.5154315636945777,2.63,0.47232035034999736,2979873.90092464,3329136.2840409307,
2024/12/15 07:45:00,0.8572784635094308,52.7995989021918,2.114715317092419,8.510000000000002,0.6775816975444304,0.6464394867208602,76.70398116687224,95.589516522395,4.02418232431429,3.3407755581668623,2.5125854113745207,2.63,0.4715566313959273,2974788.833927645,3333655.65792801,
2024/12/15 08:00:00,0.9305553174557417,52.81809736889113,2.118889712374851,8.510000000000002,0.6772300235434162,0.6462355127858289,76.63353531676445,95.50347142303787,4.016254338439349,3.334900117508813,2.514469147467902,2.62,0.4715733899499407,2969766.893561514,3327804.082351199,
2024/12/15 08:15:00,0.8109332049799036,52.75344712631227,2.117351523640396,8.510000000000002,0.6768300296427706,0.6461109132379143,76.553410228507,95.45090990100469,4.01917201984894,3.338425381903643,2.512027652216184,2.62,0.47147069905633765,2968372.6647128975,3327612.792398609,
2024/12/15 08:30:00,0.8276500837542358,52.794276525073826,2.1170942421074797,8.510000000000002,0.6761852030840528,0.6458411671424048,76.42424129657205,95.3371192365933,4.01966045287084,3.3419506462984723,2.5097964696991,2.62,0.4712559778514909,2966759.0667781257,3328671.031114562,
2024/12/15 08:45:00,0.8637998603363144,52.89190289907998,2.1144429795510966,8.510000000000002,0.6753548760197224,0.6454612225349918,76.25791368706513,95.17684203504643,4.024700633831564,3.345475910693302,2.506420008050768,2.62,0.4712263551047769,2967667.5829243143,3330086.247640734,
2024/12/15 09:00:00,0.9176586707811794,52.96460462238656,2.114745084910382,8.510000000000002,0.6745061739096985,0.6450700139927199,76.08790526603677,95.01181321464816,4.02412567865627,3.3490011750881314,2.50404299049033,2.61,0.47097418609957836,2965259.438475808,3330753.2220755313,
2024/12/15 09:15:00,0.9058340649262959,52.90550860256053,2.118519531847794,8.510000000000002,0.6743467683459307,0.6450932005661496,76.05597381697,95.02159432229095,4.016956120568543,3.344300822561692,2.505553276863776,2.62,0.47088938572432465,2960040.4342382946,3326022.755920778,
2024/12/15 09:30:00,0.9549833544447779,52.87764647861178,2.1215906312941035,8.5,0.673641263596222,0.6448976838811582,75.91465008617163,94.93911685974585,4.006427948267884,3.343529411764706,2.506213912658146,2.63,0.4703549668703728,2952277.6828587614,3324423.7252341453,
